18.1367 52.3545 | -0.934752 0.213991 | 3001.64 -1639.49
18.6159 52.498 | 0.723447 -0.817947 | 530.998 5215.27
19.1054 52.6046 | 0.504083 0.726986 | -2426.96 -8087.23
19.6029 52.6468 | 0.17895 -2.18293 | 7900.26 -3651.19
20.1069 52.6285 | -1.35957 -0.478445 | -1730.96 4068.78
20.6068 52.5693 | -0.0367774 1.84012 | -6570.64 -691.696
21.0966 52.473 | 0.306278 -2.81376 | 1250.05 3380.52
21.5804 52.3491 | 2.16922 -3.61209 | 7533.3 151.745
22.0595 52.1933 | 1.63534 0.962286 | -6425.35 -4978.34
22.5209 51.9966 | -1.42427 2.88101 | -997.439 -1026.67
22.9694 51.7727 | 0.0219962 -1.30475 | 5692.15 5240.15
23.4148 51.5393 | 0.166043 -2.22028 | -2679.98 -2299.85
23.8501 51.2902 | 0.22152 1.77726 | -3738.43 4451.09
24.2742 51.0314 | -2.42527 -1.05136 | -3500.31 4521.25
24.6856 50.7607 | 0.426421 0.1502 | 422.758 -1212.06
25.0821 50.4679 | 3.84272 2.04497 | 966.042 -7837.03
25.4625 50.1478 | 0.687533 0.653289 | 1902.72 -2737.87
25.8367 49.8165 | -0.0575738 2.6509 | 2775.71 9750.26
26.215 49.4945 | 0.190005 1.55161 | -5508.79 -1132.85
26.5877 49.1705 | -0.819305 0.192919 | -4497.25 -3994.52
26.9581 48.8455 | -1.22032 0.0948744 | 6263.36 8484.97
27.344 48.5394 | -2.07531 -0.467129 | -2021.78 -5477.64
27.7361 48.2379 | 1.09154 2.55168 | 2484.24 -7105.82
28.1395 47.943 | 1.89466 2.89593 | 8760.02 4862.4
28.5651 47.6728 | -1.21119 1.67381 | -1170.69 -9723.54
29.0024 47.4165 | 1.23486 0.485888 | -3833.23 4686.44
29.4544 47.1963 | 2.27978 -0.841718 | -2347.25 9351.56
29.923 47.025 | 0.850854 2.20432 | 5967.04 -8172.4
30.4057 46.8836 | 0.355205 2.02204 | -10477.4 -5396.89
30.892 46.7801 | -0.21619 -1.81747 | 2502.48 9277.74
31.3881 46.7489 | 1.46446 -0.572655 | 3238.88 6619.71
31.8873 46.7853 | 1.83042 1.26635 | 4610.48 -7414.95
32.3861 46.8566 | 0.0319314 0.16289 | 1045.43 -4131.4
32.8789 46.961 | 2.81689 -1.58024 | -10088.6 5149.36
33.3542 47.1123 | 3.16604 -0.428251 | 9041.15 -563.994
33.8223 47.2993 | 0.890239 1.35914 | 1789.68 6600.75
34.2786 47.5202 | 1.26575 0.983394 | -5378.28 -11946.3
34.722 47.7529 | 0.803347 1.07675 | 966.426 5731.16
35.152 48.0117 | 0.363892 1.79884 | -799.252 -3224.54
35.5675 48.2905 | 1.20434 -1.31548 | 659.167 1275.45
35.9665 48.5934 | 0.36777 -0.223534 | -4787.54 6164.3
36.346 48.9206 | -0.457875 0.471918 | -76.788 -4390.14
36.7234 49.2485 | -0.735242 1.88806 | 8978.36 1993.83
37.1132 49.5687 | 0.383176 2.77273 | -6068.22 -6377.75
37.5077 49.8758 | 1.10788 0.0840214 | -768.358 7506.52
37.9089 50.1787 | -2.30595 1.06836 | 10599.6 43.2052
38.3306 50.4624 | 0.203391 0.471421 | -4638.3 -6886.06
38.7619 50.7236 | 1.42502 0.136899 | -1241.68 9351.46
39.198 50.9779 | 1.47851 1.09409 | -7093.63 -7174.52
39.6407 51.2051 | 1.87835 0.441359 | -3368.83 -6368.87
40.0935 51.3996 | 2.36997 -2.39416 | -2299.09 8583.24
40.5546 51.5741 | 1.85082 -1.43605 | 3458.16 -1172.65
41.032 51.7088 | -1.20338 3.74847 | 11841.5 67.116
41.5281 51.7936 | -1.00242 4.18339 | -8787.87 -120.872
42.0249 51.826 | 1.36531 1.33139 | -7801.67 -2556.61
42.5177 51.8033 | 3.38807 2.807 | 13726.9 -3885.23
43.0154 51.7346 | 3.47795 1.92959 | 2083.97 7158.56
43.5108 51.6426 | 1.9776 0.0897211 | -6389.6 -1154.48
43.995 51.521 | 1.93708 0.755519 | -7250.72 717.949
44.4666 51.373 | 2.86135 2.57856 | 5134.94 1064.62
44.9351 51.2047 | 2.66328 2.72309 | 12390.4 -311.597
45.4034 51.0138 | 0.98403 2.5627 | -4553.38 -3983.22
45.8543 50.7885 | -0.381054 1.91818 | -10647 1052.62
46.282 50.5356 | 0.0589128 3.73395 | -1668.95 2263.11
46.6991 50.2709 | 0.111852 3.36281 | 3593.91 4309.21
47.117 50.0068 | -0.234047 2.84686 | 269.07 -2925.89
