-4.61057 12.4943 | 3.31514 3.07073 | 4595.37 -3630
-23.7349 62.5995 | -0.473998 -1.18978 | -5280.9 4072.5
-23.3137 62.8733 | -1.54271 0.307448 | 2254 -1280.76
-22.9218 63.1875 | -0.263446 0.686475 | -1747.91 618.382
-22.5681 63.5432 | 2.33672 0.213893 | -4816.42 2715.71
-22.2566 63.9366 | 1.40106 1.2375 | 3442.49 7001.29
-21.9706 64.3555 | -0.149012 3.015 | 3607.9 -3448.5
-21.6933 64.7794 | 1.74861 2.95122 | -4446.03 -8268.9
-21.423 65.2002 | 1.11817 0.887183 | -1504.15 1631.45
-21.1542 65.6216 | -0.396756 -1.06155 | 2414.37 1871.19
-20.8759 66.0396 | 0.431793 -1.63747 | 3757.9 2697.19
-20.5818 66.4507 | 2.62491 -0.911528 | 1078.49 -1225.78
-20.2726 66.8505 | 2.59795 -0.2097 | -6526.14 -346.579
-19.9537 67.2386 | 1.70015 -0.455004 | 2202.74 -2518.75
-19.6116 67.6059 | 3.3607 -1.61049 | 2281.04 2753.93
-19.2435 67.9511 | 2.11177 -2.39816 | 3978.74 -216.531
-18.8484 68.2683 | -0.352629 -2.08318 | 1074.85 -6077.12
-18.4341 68.5572 | 0.772843 -1.53398 | -6986.2 4795.25
-18.0168 68.8377 | 2.4096 -1.94117 | 2740.9 -152.15
-17.591 69.1063 | 2.42385 -1.11667 | -2271.34 -3562.06
-17.1607 69.3615 | 0.0855298 1.56752 | -5889.32 8.95211
-16.7306 69.6106 | -1.60682 2.67048 | 4536.99 1574.92
-16.2935 69.8543 | -1.76133 0.882255 | 5731.13 3381.34
-15.8481 70.0938 | -3.39622 -0.314387 | 218.848 3878.86
-15.3976 70.3277 | -2.47234 0.341325 | -3207.13 -2089.81
-14.9404 70.5427 | -1.1513 0.285377 | 566.333 -7044.82
-14.473 70.7284 | -2.21379 0.598426 | -2398.98 6474.21
-14.0013 70.899 | -2.17757 1.34735 | -9598.47 2072.9
-13.5267 71.0415 | -0.808245 -1.20724 | 4265 -11135.4
-13.038 71.1267 | 1.06771 -2.46694 | 5095.49 3639.47
-12.5397 71.1727 | 1.20637 -0.665223 | 1477.26 6702.47
-12.0374 71.1868 | -0.321127 -4.18149 | 2199.1 -10117.9
-11.5347 71.1503 | -0.606004 -4.62016 | -3670.84 1411.5
-11.0369 71.0839 | -1.65112 -3.52779 | 1657.14 2609.94
-10.5403 71.0031 | -3.00481 -3.55442 | 2349.75 1344.83
-10.0439 70.9121 | -2.01733 -3.79665 | -896.203 1305.15
-9.54961 70.8083 | -1.07799 -4.03114 | 6778.77 -6934.77
-9.05353 70.6831 | 0.604869 -2.60984 | 7021.29 -6442.95
-8.55345 70.5484 | 1.11715 -1.64507 | -4077.18 8930.91
-8.05177 70.4346 | 0.017986 -1.04114 | -2776.08 2311.46
-7.54836 70.3418 | -0.299133 0.264968 | 385.607 -7340.5
-7.04158 70.2648 | -1.5036 -2.59716 | 2558.27 4195.36
-6.52951 70.229 | -1.22682 -3.90895 | -3093.96 6349.68
-6.01941 70.2459 | 0.129293 -3.0395 | -7244.71 169.229
-5.51842 70.3056 | -0.379254 -1.75098 | -5321.58 3775.8
-5.02712 70.3976 | -1.10868 -0.873722 | -4300.32 -9523.58
-4.54089 70.4935 | -1.20833 -1.57197 | 5931.65 -38.4459
-4.05285 70.6002 | -1.66133 -2.40492 | 4768.17 3820.45
-3.56534 70.7278 | -2.03738 -2.34725 | -810.893 -3588.26
-3.08334 70.8742 | -1.21305 -2.07413 | 2704.78 954.48
-2.61 71.0511 | 2.40108 -3.97511 | -2909.33 2614.27
-2.15552 71.2686 | 3.4273 -1.24513 | -4677.76 -274.805
-1.72741 71.5278 | -0.114539 0.535355 | -1025.94 1567.06
-1.32951 71.8303 | -0.836405 -0.992876 | -57.4372 2318.7
-0.963795 72.172 | -0.249133 -0.69799 | -1883.76 -982.929
-0.628378 72.5419 | 0.488939 -0.884465 | -1229.53 -865.407
-0.315767 72.9293 | 0.282422 0.430746 | 1084.44 -4090.14
-0.0156339 73.324 | -0.426867 0.200106 | -236.392 -337.154
0.273897 73.7254 | -0.591753 0.186608 | -1570.16 -1104.98
0.554176 74.1315 | -0.323665 0.36882 | 697.611 -2462.95
0.829925 74.5394 | 0.607675 -1.18805 | -1560.88 3437.49
1.10105 74.9526 | -1.1194 0.409511 | -959.639 7622.65
1.37825 75.3671 | -2.15567 0.597551 | 8851.7 -4525.49
1.68512 75.762 | -2.94907 1.64449 | 148.851 -3010.64
2.01264 76.1394 | -0.450517 2.87729 | 283.371 5160.98
2.35011 76.5123 | 1.24492 -0.643305 | 550.097 6320.71
2.69497 76.8837 | -0.314687 -0.864595 | -1091.37 1106.5
3.05242 77.2423 | -1.82079 1.47719 | -2841.21 -10032.6
3.42956 77.5701 | -2.08709 2.01999 | -4437.9 -2397.4
3.82456 77.87 | -1.95756 2.73977 | 2712.41 6589.84
4.24162 78.146 | -2.03937 2.27781 | 6473.77 2361.49
4.68645 78.3852 | -0.55062 3.93815 | 1572.1 -5975.2
5.15404 78.5745 | -0.00812204 7.67959 | -6023.78 -3807.41
5.63138 78.7237 | -0.573106 6.2263 | -554.241 7439.16
6.11549 78.8527 | -0.693966 4.51643 | 5393.09 1002.17
6.60975 78.9528 | -1.41162 2.51835 | -3280.46 -5176.88
7.10756 79.0144 | -1.63385 -1.32373 | -4097.44 318.557
7.60501 79.0472 | -0.803456 -0.720917 | 1629.92 3025.5
8.10359 79.0589 | -1.73704 -1.45463 | -3025.87 1251.17
8.59924 79.0459 | -2.58926 -3.60004 | -6999.78 -2468.65
9.08793 79.001 | -2.55608 -4.91098 | 383.295 2621.38
9.57371 78.9301 | -1.08593 -5.42315 | 6558 -5229.83
10.0605 78.8302 | 0.259948 -1.23865 | 5850.57 -1852.27
10.5508 78.7166 | -1.11805 2.81726 | 9661.9 1947.52
