-16.7912 87.6686 | 2.09351 1.38405 | 5471.94 1808.21
-16.3084 87.7983 | 0.376999 2.03331 | 17353.8 1769.47
-15.8036 87.8833 | -1.10218 3.32211 | -4132.07 -6216.15
-15.2944 87.9126 | 0.678246 3.23163 | -5687.57 -2797.56
-14.7888 87.8964 | 1.99847 1.10568 | -1311.43 7269.97
-14.2865 87.8544 | 2.21889 0.29845 | -1449.39 -2024.69
-13.7885 87.7767 | 0.297702 -1.91984 | 10840.6 -3393.32
-13.2907 87.6607 | -0.600027 -2.43497 | -3579.88 1912.3
-12.8051 87.5105 | -1.41382 -2.74915 | -11842.3 117.307
-12.3402 87.3247 | -1.64562 -1.8117 | 1650.95 -3521.13
-11.8858 87.11 | -0.726382 -1.55802 | 8090.49 -2198.21
-11.4297 86.883 | -0.883801 1.72119 | 9698.91 -2658.32
-10.9664 86.6562 | -2.54609 3.11157 | -9923.98 6410.26
-10.5051 86.4425 | -2.82188 1.57246 | -4645.35 2446.74
-10.0418 86.2433 | -1.25397 2.2846 | 9142.8 3182.77
-9.56919 86.0574 | -1.11183 1.88547 | -7162.96 295.745
-9.10349 85.8666 | -1.7709 2.4013 | -8652.32 -8877.95
-8.64937 85.6582 | -1.59949 0.952156 | 3880.64 6685.17
-8.19 85.4599 | -1.31391 -1.54967 | 5991.69 581.371
-7.72215 85.272 | -0.75551 -0.0898617 | 891.153 -4133.79
-7.25224 85.0867 | -0.834993 0.518895 | -10848.8 2482.63
-6.78653 84.9104 | -0.769263 -0.882913 | 952.473 -1286.35
-6.31518 84.7498 | 0.0272089 0.938563 | 2325.83 -406.189
-5.8334 84.6169 | 0.897856 2.12161 | 2175.79 1513.77
-5.34054 84.5231 | -0.681338 0.241004 | 5735.64 6797.2
-4.83819 84.4716 | -3.23349 -1.60303 | -3986.23 -11300.3
-4.33646 84.4368 | -1.83026 3.37305 | -4428.59 -1259.59
-3.83736 84.4381 | 0.409358 3.21691 | -3044.65 11279.5
-3.34373 84.5002 | 1.16767 1.65521 | 6057.19 -3220.39
-2.85274 84.6007 | 0.301529 1.57457 | -1147.96 646.408
-2.36897 84.7322 | -0.479496 -0.376403 | 1864.77 -3732.63
-1.8905 84.8843 | -0.317515 -0.407154 | 1184.85 3867.43
-1.41952 85.0624 | 1.64476 2.09772 | -3248.05 565.965
-0.957325 85.2582 | 3.30973 1.69926 | 4005.25 -8161.63
-0.496857 85.4591 | 3.73371 -2.58445 | 871.898 4504.93
-0.0458612 85.6854 | 1.75679 1.07012 | 1855.65 6042.53
0.391151 85.9432 | -0.386462 7.74566 | -869.345 -5235.47
0.811873 86.2205 | 1.20496 4.8941 | -15864.2 -347.645
1.20585 86.5195 | 1.79819 3.82016 | 5723.35 -4118.88
1.59676 86.823 | 1.29091 2.20929 | 4588.74 -1059.79
1.98671 87.1307 | 1.56501 -0.644156 | -7034.47 5409.67
2.36562 87.4514 | -0.839145 1.97218 | 6064.81 2004.67
2.75098 87.771 | 0.213529 0.728979 | 4320.71 -3187.07
3.14881 88.0783 | 1.48039 -0.13726 | 2899.68 702.909
3.5541 88.3796 | 1.14168 -0.592085 | -1001.7 5768.72
3.95805 88.6842 | -1.56945 -0.30501 | -7761.52 -7261.65
4.35867 88.9814 | -3.86763 -1.62022 | -1838.08 3068.29
4.76205 89.2731 | -3.34297 -3.12677 | 365.303 -2633.35
5.17748 89.5461 | -1.2708 -0.451376 | 1075.42 868.096
5.60885 89.7957 | -0.598517 1.68668 | 4346.64 4982.38
6.05918 90.0173 | -1.99895 1.75702 | -5065.12 -9294.13
6.52452 90.1929 | -1.91775 1.86911 | 5063.07 3262.92
7.00385 90.3352 | -0.0195155 -0.369717 | -4524.82 -1918.89
7.48703 90.4481 | -0.145587 0.302734 | -7983.6 -2995.79
7.96837 90.5406 | -1.52128 2.16677 | 1378.85 11741.3
8.45208 90.6296 | -0.493014 0.344885 | 1470.32 -2873.72
8.94258 90.6866 | -0.474579 0.354678 | 10351.4 -9507.74
9.4428 90.6976 | -1.51513 -1.29245 | -3433.03 8878.94
9.94138 90.6902 | -0.921436 -2.92459 | -6250.51 -2602.81
10.4352 90.6582 | 0.322391 0.229856 | 6986.34 -2479.4
10.9314 90.6069 | 1.89619 0.206948 | -2287.11 11570.3
11.4254 90.5512 | 2.10288 -3.13382 | 1061.04 -9365.92
11.9154 90.4608 | 0.0445494 -0.112164 | -1645.24 -1488.89
12.3989 90.3434 | 0.468917 1.40086 | -1989.67 4217.39
12.8782 90.2137 | 3.28864 -3.79329 | 8922.96 -6768.04
13.3608 90.0707 | 4.9435 -3.59463 | -1694.56 2619.51
13.8445 89.9334 | 2.58637 0.581094 | 1729.45 4106.47
14.332 89.8108 | -1.1631 2.64428 | -3376.16 -1612.91
14.8185 89.6964 | -0.00571522 3.98871 | -11613.9 -3108.98
15.3019 89.5958 | 1.21713 -0.259555 | 18570.7 4304.33
15.8024 89.5325 | 1.98303 -2.53074 | -1887.09 -4701.46
16.3067 89.5054 | 2.0361 -2.215 | -1953.88 7846.88
16.8098 89.5327 | -0.00649911 -1.84729 | 2402.32 480.781
17.309 89.6023 | -2.32163 -0.393384 | -13323.4 -7200.86
