-5.2144 -64.324 | -2.10274 -5.11985 | 2160.81 -5937.66
-4.73707 -64.4674 | -1.91585 0.0877572 | -12976.8 -826.883
-4.27802 -64.6358 | -0.848849 3.4636 | -10271 8689.71
-3.8297 -64.8077 | 0.04199 -1.56669 | 12349.2 646.477
-3.37565 -64.9839 | -0.542732 -3.2089 | 2870.06 -9046.21
-2.92292 -65.1769 | -1.7736 1.90968 | -1145.67 141.011
-2.47013 -65.3702 | -0.391253 2.01232 | 1092.32 5180.26
-2.01132 -65.5478 | 1.56531 -1.63577 | -232.009 -4185.53
-1.54696 -65.7148 | 2.20716 -1.27181 | 7497.06 -144.143
-1.07149 -65.8624 | -0.312733 -1.20974 | -5388.98 610.294
-0.593626 -65.9881 | -0.0970359 -2.46776 | -8624.22 875.717
-0.115676 -66.0889 | 2.52919 -4.31568 | 6577.35 -2140.47
0.371658 -66.1619 | 2.11273 -3.46328 | 5927.75 5856.71
0.867151 -66.2008 | 1.50276 -3.1555 | -2535.14 -7711.11
1.36346 -66.2268 | 1.11923 -1.0938 | 6147.02 -4147.21
1.86413 -66.2313 | -1.33417 -1.1392 | -4839.33 9484.15
2.36055 -66.1908 | -1.86602 -2.60037 | -1876.95 -6701.27
2.85245 -66.1211 | 0.115821 -2.81446 | 7976.24 3410.8
3.34269 -66.0127 | 0.731452 -0.228757 | -2780.68 6216.36
3.82246 -65.8669 | 0.494015 0.838992 | -4599.45 -9817.38
4.29363 -65.711 | 2.26112 -4.88243 | -1200.34 2750.55
4.75848 -65.5393 | 2.86995 -5.3376 | 4237.03 -3289.39
5.22155 -65.3589 | -2.06212 -0.554356 | -2819.87 -524.746
5.67596 -65.1621 | -2.65528 -0.916761 | -1503.9 -739.583
6.1191 -64.9436 | -1.16682 -0.712813 | 693.167 4783.58
6.55073 -64.698 | -2.29627 -0.791938 | 6583.89 881.162
6.9779 -64.4351 | -1.187 1.10262 | -520.323 3851.73
7.39919 -64.1583 | -1.66611 -0.611787 | 5749.27 -2491.75
7.82398 -63.8809 | -2.8281 -1.20697 | 3351.27 4352.66
8.24991 -63.599 | -2.07025 -1.591 | -6717.43 -506.358
8.67257 -63.3185 | -1.82701 -2.46961 | 995.277 -1411.06
9.10263 -63.0508 | -0.104485 -0.183272 | 843.72 -3949.57
9.54405 -62.8044 | 0.626838 0.631043 | 1812.72 -1066.27
9.99417 -62.5748 | -2.4145 -1.51191 | -9773.47 3685.43
10.4427 -62.3538 | -0.51464 -3.08745 | -3343.5 -3585.94
10.8993 -62.1573 | 0.179092 -0.563381 | 10213.4 -3473.74
11.3743 -61.9921 | 1.27507 -1.22832 | 4070.4 7774.67
11.8596 -61.8427 | 3.50233 -0.340723 | -1937.47 -2360.35
12.3499 -61.718 | 3.20178 0.265056 | -8464.08 -6104.27
12.8395 -61.6199 | 1.9939 0.843197 | 799.595 9715.48
13.3324 -61.5315 | -0.464795 0.402421 | 7737.64 -2039.12
13.8344 -61.4738 | -0.686628 1.78543 | -5653.68 -7912.79
14.3362 -61.4575 | -0.0225564 -1.46 | 78.596 5843.56
14.8386 -61.4622 | -1.87375 2.39964 | 8126.44 -581.082
15.3449 -61.4916 | -1.29694 3.64489 | -7048.64 455.464
15.8451 -61.5475 | -0.134698 -0.284048 | -772.153 -5642.95
16.3406 -61.6321 | -1.56438 -2.71817 | 3245.64 5833.34
16.8356 -61.7259 | -2.04416 -0.80627 | -4049.44 1520.87
17.3257 -61.8326 | -2.07999 0.694257 | 5347.06 -2362.08
17.8141 -61.9608 | -1.95594 -1.50996 | -1714.43 2088.97
18.295 -62.1124 | 0.348591 0.971449 | 1919.2 -5980.15
18.7659 -62.2974 | -0.257493 1.71912 | -6788.56 -6032.32
19.224 -62.5054 | -0.679991 -2.54749 | -1558.01 12669.6
19.6836 -62.6983 | -0.0235863 -3.67092 | 2905.88 471.277
20.1483 -62.8814 | -1.30582 0.086178 | -1238.77 -4078.77
20.6138 -63.0635 | -0.370181 -0.524716 | 222.537 608.84


-18.7493 86.0446 | 0.429475 -4.85502 | -2540.04 -628.587
-18.2829 86.2181 | 1.13599 -0.437899 | 1729.24 1800.52
-17.8262 86.4178 | 2.30018 -0.45865 | -5372.99 -4837.97
-17.3814 86.6329 | 2.62101 -1.62074 | 3421.31 -4271.5
-16.9439 86.8642 | 1.77242 -2.23743 | 1051.08 12459.7
-16.52 87.1299 | 1.62205 2.26035 | 2597.83 1414
-16.1011 87.4085 | 2.22717 4.02295 | 5206.19 -9960.93
-15.678 87.6795 | 1.38368 1.78175 | -7003.76 3369.6
-15.2639 87.9605 | 1.24765 -0.725545 | 4717.18 6486.53
-14.8515 88.251 | 0.538074 1.03682 | -2739.07 -4884.9
-14.4384 88.5341 | 3.16198 -0.226424 | -6011.75 -8412.14
-14.0241 88.8041 | 4.07728 -0.773073 | 4414.12 7911.22
-13.6049 89.075 | 1.82229 0.700746 | -1018.09 5417.74
-13.1786 89.3395 | 0.803582 0.691981 | 8161.19 -7602.3
-12.7324 89.5737 | 0.341197 3.28268 | -3037.52 -168.569
-12.2783 89.7877 | -0.625745 1.88735 | -4555.87 1958.94
-11.8222 89.9898 | -1.91529 2.15317 | -4171.8 -476.279
-11.3635 90.1758 | -1.17893 2.98991 | -5999.37 -1604.96
-10.8999 90.338 | -1.2042 2.5895 | 9201.76 1944
-10.4209 90.4707 | -1.08677 0.79035 | 1318.98 -1842.38
-9.93192 90.5686 | -1.15029 4.72997 | -597.929 3648.86
-9.43779 90.6372 | -0.809884 3.15902 | 1439.96 -2653.68
-8.94021 90.6687 | -0.72555 -0.521934 | -11066.1 6908.53
-8.44819 90.6674 | -1.21655 2.4407 | 8306.56 -6989.85
