-8.89543 70.5994 | -2.3624 -0.956717 | -7451.3 2600.36
-8.63679 71.0316 | 2.03508 -1.05857 | -2332.89 -9902.25
-8.38975 71.4627 | 1.27226 -0.387732 | -2280.19 2438.9
-8.15297 71.8993 | 0.225686 0.559955 | -1862.77 4090.21
-7.91606 72.3376 | 0.0557642 1.43274 | 5912.79 -4783.08
-7.65859 72.7623 | 2.35826 0.893736 | -5265.87 -7033.26
-7.38798 73.1718 | 2.98003 0.493507 | 2024.2 362.81
-7.10394 73.5739 | -2.85866 -0.330655 | 722.566 12991.7
-6.81145 73.9803 | -0.830272 -2.26108 | 3270.01 2443.03
-6.49912 74.3781 | 0.810458 -0.346626 | 12125.1 332.496
-6.15733 74.7596 | 0.398075 1.88054 | -6880.13 10369.4
-5.80661 75.135 | 1.15459 -0.896179 | -6678.6 -12762.3
-5.43645 75.4777 | -1.22878 0.48639 | 1284.94 -3316.04
-5.03691 75.7824 | 0.964921 3.40085 | 2056.97 6764.13
-4.60873 76.0511 | 1.08411 2.51172 | 1133.44 -4067.7
-4.15172 76.2643 | -1.48862 1.13835 | -4117.23 -7817.64
-3.67546 76.4155 | -1.98261 2.19233 | -3002.55 889.27
-3.18898 76.5232 | -0.900641 0.506962 | 6937.97 4457.05
-2.69233 76.6026 | 0.16925 -2.9361 | -2913.03 2274.67
-2.1937 76.6551 | 2.18401 -0.435393 | -5575.38 -1729.54
-1.69608 76.6731 | 2.86754 2.5941 | 7157.82 1279.68
-1.19438 76.6551 | 2.76494 -2.76036 | 221.251 395.132
-0.695858 76.5951 | 0.0481645 -2.93803 | -3872.77 -5710.16
-0.208388 76.4856 | -2.79011 -0.493001 | -6254.84 -1341.22
0.26679 76.344 | -0.264385 -3.07697 | 1418.79 2965.47
0.741042 76.1969 | 0.340924 -4.06213 | 9025.89 -98.9901
1.22384 76.0584 | -0.869383 -4.55768 | -552.388 3638.76
1.71062 75.9365 | 0.680356 -3.45882 | -3578.96 -568.449
2.19696 75.8254 | -0.251997 0.665377 | -7063.48 -539.193
2.681 75.7246 | 0.124577 3.48944 | 4971.84 2434.17
3.17137 75.6391 | 0.925339 3.93366 | 8740.96 -2721.03
3.66978 75.5615 | -0.37598 5.4301 | -2874.25 -4893.31
4.16941 75.4906 | -0.402704 5.00389 | 5140.17 2107.71
4.67521 75.4445 | -0.892453 0.441051 | 2071.39 3721.4
5.18316 75.4327 | 0.26404 0.0994856 | -13595 1130.43
5.68136 75.4504 | 0.791427 1.13862 | -2519.62 -6085.84
6.17469 75.4882 | -0.997289 0.288062 | -1891.76 2266.65
6.66286 75.5592 | -0.713883 -3.38749 | 2156.38 -3659.88
7.14652 75.6651 | -2.8611 -5.11687 | 7234.32 9969.83
7.62377 75.8214 | -1.79353 0.659288 | 263.78 3150.28
