-59.8417 -27.7439 | -2.5797 5.16068 | -6591.92 -5947.01
-59.3682 -27.6257 | 0.24318 -4.70652 | 9865.83 -5825.25
-58.8771 -27.5689 | 0.312412 -0.394188 | 5757.82 9012.44
-58.3779 -27.5411 | 6.11238 3.25028 | -3535.33 -5283.14
-57.8783 -27.5417 | 3.73363 0.312431 | 11915.7 10315.8
-57.3718 -27.5483 | 1.19383 2.46785 | -8979.73 2279.15
-56.8714 -27.5792 | -0.276744 0.957787 | -5.50529 -7367.78
-56.3778 -27.6605 | 3.06014 0.960361 | -6028.95 6013.96
-55.8982 -27.7876 | 4.72163 -0.668553 | 9315.95 -10068.2
-55.431 -27.9755 | 0.747667 -1.66956 | -2329.73 -4723.42
-54.9835 -28.2075 | 1.0002 0.39132 | -1738.84 13912.5
-54.5486 -28.4504 | 0.810368 5.07017 | -8541.03 -3967.61
-54.1325 -28.7152 | -0.619242 4.42234 | 937.567 4255.7
-53.7226 -28.9863 | 3.97451 1.02142 | 473.156 902.164
-53.3153 -29.2615 | 4.30175 2.59335 | -984.424 -3787.37
-52.9084 -29.5415 | 1.65567 2.56533 | 15322.5 -3942.87
-52.4873 -29.8178 | 6.32618 2.60747 | -3985.96 5943.58
-52.0666 -30.0871 | 9.14586 0.467603 | -18028.8 -2391.68
-51.6587 -30.3613 | 1.98354 -1.08251 | 16697.6 -7541.73
-51.2311 -30.6245 | 3.07544 -1.57564 | 5470.42 13743
-50.7834 -30.8534 | 4.72631 -3.82444 | -4581.66 -7926.41
-50.3343 -31.0806 | -2.12216 -3.35684 | 4529.29 -5395.79
-49.881 -31.3093 | -0.16372 -3.25061 | -1930.8 -4043.13
-49.4237 -31.5289 | 0.915547 -4.27108 | -8124.96 7189.92
-48.9581 -31.7116 | 0.650757 -2.32644 | 4398.39 1288.98
-48.4761 -31.8454 | 2.02405 0.463483 | -6800.53 3437.19
-47.9882 -31.9241 | -1.49589 -5.45582 | -11653.1 1170.47
-47.5023 -31.9528 | -2.30571 -5.67735 | 12906.3 993.395
-47.0081 -31.942 | -1.99835 -0.581866 | -4596.54 -1310.04
-46.5157 -31.9101 | 0.265329 -3.0804 | 12831.4 -9274.14
