25.2411 49.3067 | 0.353639 -1.12994 | 5176.26 4904.01
25.7156 49.1518 | 0.895038 0.28916 | -3720.71 3099.65
26.1808 48.9786 | -1.96127 -2.66446 | 598.028 -5960.68
26.6362 48.7757 | -0.95739 -2.46452 | 1165.8 -5168.34
27.0865 48.5531 | -0.526256 -0.593039 | 9650.24 1392
27.5468 48.3349 | -0.16519 1.55037 | 11032.2 -1230
28.019 48.1277 | -1.01228 2.19697 | -18739.4 659.218
28.4843 47.9335 | -1.13469 3.34765 | -2511.91 4657.86
28.956 47.7708 | -0.68005 1.33498 | 419.419 4901.88
29.4367 47.6472 | -1.62249 -1.13663 | -10759.9 764.531
29.9167 47.5526 | -1.6287 3.59293 | 2467.97 -5097.7
30.4016 47.4781 | 0.581414 2.30783 | 1705.3 -4175.95
30.8915 47.4325 | 0.890974 -0.866067 | -400.814 7655.82
31.3836 47.4384 | -0.395165 2.3685 | 3089.84 -106.491
31.8759 47.4834 | -0.118094 2.50674 | 28.5729 -4841.52
32.3643 47.5534 | -0.120705 -0.956754 | -7443.46 -1392.44
32.8422 47.6507 | 0.518965 -0.322374 | -5010.55 -1243.8
33.3099 47.7761 | 0.00802707 0.201786 | 9680.49 -1704.38
33.7755 47.9293 | -0.606233 -1.21652 | 5312.08 4359.05
34.2318 48.1205 | -0.595097 0.125866 | -8133.92 -3918.44
34.6674 48.3448 | 0.438348 -1.64201 | 3783.68 2679.6
35.0877 48.602 | 1.1026 -1.82829 | 3752.37 807.056
35.4951 48.8845 | 2.96199 -0.515815 | 1537.3 1251.16
35.8889 49.1874 | 1.61373 1.20802 | -9076.89 -2128.12
36.2673 49.5017 | 2.41435 -0.387894 | 7488.94 -551.846
36.651 49.8149 | 3.9339 -1.9702 | 4078.23 4112.54
37.042 50.126 | 0.927663 1.73584 | -365.942 -1425.99
37.4395 50.4284 | -0.527453 2.09563 | -1698.79 -2913.86
37.8435 50.7195 | 1.40521 -0.854855 | 4858.1 2787.32
38.2557 51.0053 | 3.16358 1.60704 | -3309.44 2142.46
38.6695 51.2878 | 1.71805 2.28261 | 869.863 -4123.75
39.0898 51.5598 | 0.537055 -0.374478 | 5827.94 2922.22
39.5169 51.8291 | 0.319705 -1.11075 | -4972.77 8226.36
39.9419 52.1012 | 0.911373 1.36179 | -4442.6 -8930.3
40.3746 52.3486 | 2.45178 1.46094 | -1782.06 -5842.67
40.8197 52.5658 | -1.28759 0.82282 | 3369.96 10317.2
41.2775 52.7656 | -1.10976 2.73933 | -203.278 -4385.94
41.7493 52.9273 | 3.68428 2.4033 | -994 -1489.43
42.2328 53.0468 | 0.505003 -2.69948 | 1957.24 93.0112
42.7254 53.1266 | -3.7006 -4.45718 | -2899.39 3396.68
43.2214 53.1706 | -3.36435 -1.01777 | 3502.6 251.946
43.7212 53.17 | 0.0449189 0.924799 | -1234.69 -3609.41
44.218 53.1161 | 2.19456 -2.07537 | 552.347 363.187
44.7085 53.0165 | -1.37322 -1.76774 | 2901.43 -3820.36
45.1922 52.8767 | -0.135184 -1.12031 | 2354.61 1964.44
45.6696 52.715 | 2.09277 -2.88442 | -4363.28 9815.08
46.1365 52.5408 | 0.0085468 -3.4657 | -6837.2 -30.0498
46.5836 52.3331 | -1.25574 -2.19971 | -2010.8 -5347.23
47.0079 52.0817 | -0.973346 0.372408 | 7698.18 782.793
47.4173 51.7993 | 2.11754 0.752303 | 1708.26 2514.8
47.805 51.4879 | 2.16951 -1.09563 | -10693.9 -5846.34
