32.2148 53.311 | 2.54574 -1.59434 | -7239.8 -6109.05
32.7131 53.3116 | 3.07828 1.21097 | 1675.62 1885.97
33.2107 53.3435 | 3.17934 2.27253 | -472.161 -421.977
33.7056 53.4089 | 2.53994 0.266895 | 6827.94 5057.26
34.1995 53.5114 | 2.52993 -0.993309 | 148.688 120.812
34.6881 53.6376 | 1.80456 -2.14296 | -4294.29 -6861.85
35.1697 53.7738 | 1.21801 -2.67383 | -3120.73 3365.98
35.6434 53.9292 | 3.51612 -2.99944 | 644.746 -5.80588
36.1136 54.0968 | 4.1102 -0.625999 | 6495.92 -2412.34
36.5853 54.2706 | 2.55577 1.16585 | -1701.11 -2364.63
37.0506 54.4583 | 2.14198 1.53196 | -2069.77 6901.79
37.5039 54.6753 | 2.23254 1.73246 | 3070.56 2625.73
37.9507 54.9108 | 1.75979 3.27692 | -2657.82 -1335.06
38.3945 55.1489 | 1.59939 3.09278 | 2619.67 -677.65
38.8444 55.3765 | 1.43541 1.64749 | -2347.5 -5679.3
39.3009 55.5836 | 1.12044 1.05186 | -263.133 2236.96
39.764 55.7776 | 1.22438 0.465839 | 4931.39 2963.44
40.2367 55.9577 | 2.3176 0.342254 | -1927.79 -3269.32
40.716 56.1162 | 2.23597 3.03816 | 3555.56 1475.35
41.2032 56.2569 | 1.69419 2.96304 | -3330.57 2137.92
41.6927 56.3814 | 2.70695 0.281988 | -5478.45 1525.19
42.1844 56.4809 | 2.48952 0.371654 | 5159.31 -4039.7
42.6853 56.5373 | 2.27692 0.0452369 | -370.173 -5685.23
43.19 56.549 | 1.63935 -1.27408 | 6237.8 2021.14
43.6987 56.5365 | 1.83125 -1.93165 | -2210.9 4187.29
44.2047 56.5118 | 2.62812 -3.44425 | -11887.9 -236.424
44.7015 56.471 | 3.2754 -0.575618 | 3767.15 1557.07
45.1979 56.4136 | 3.97275 1.57256 | 1576.33 850.189
45.6918 56.332 | 3.8621 1.21738 | -2015.51 -1541.02
