-8.13692 59.3189 | -2.90976 -0.210754 | 325.613 -1219.3
-7.71367 59.5835 | -4.51688 0.994943 | 3241.74 -2809.93
-7.282 59.8364 | -2.59627 -0.616177 | 1355.54 2070.19
-6.84541 60.0844 | -1.50595 -0.596874 | -1934.06 5224.04
-6.40646 60.3297 | -2.04686 2.76803 | -279.259 -3156.72
-5.95802 60.5549 | -1.74678 4.28588 | 2510.24 -3177.82
-5.49634 60.7532 | -1.05794 4.00599 | 723.132 1521.73
-5.02574 60.9307 | -1.22683 3.96809 | -3571.48 853.486
-4.55101 61.089 | -1.48704 2.87312 | -3725.03 -938.769
-4.07259 61.2231 | -0.477575 1.61397 | -3042.33 -4187.65
-3.59052 61.3285 | 0.128951 1.57624 | -1285.52 1738.19
-3.10584 61.4156 | -0.236875 1.85642 | 655.496 4897.93
-2.61776 61.4885 | -0.455481 0.166442 | 1688.59 979.196
-2.12475 61.5337 | -0.732622 -0.928708 | 2531.91 -5620.25
-1.62811 61.5361 | 0.207387 -1.21719 | -1569.76 -1810.04
-1.1334 61.5058 | 0.570754 -0.436236 | -2284.55 4410.74
-0.641814 61.462 | 0.524608 1.49306 | -613.73 3416.76
-0.152131 61.4082 | 1.41679 1.04942 | 49.0022 -937.813
0.335335 61.3354 | 1.25177 1.19937 | 2117.44 -403.27
0.820464 61.2396 | 1.11061 2.34268 | 1268.22 -129.041
1.30105 61.1193 | 0.908345 0.576995 | -1956.67 -1146.41
1.7738 60.974 | 1.11843 -0.228671 | 524.292 150.215
2.24086 60.8101 | 2.31289 -0.845882 | 1819.09 -127.706
