-77.9045 0.641557 | 4.30708 0.291183 | -12601 2214.86
1.66594 28.4705 | 0.0732782 0.91488 | -5436.75 -5817.05
2.02997 28.8061 | 0.602073 1.24263 | 1745.49 1964.71
2.40043 29.1348 | -0.114191 -1.66976 | -4092.41 -7385.11
2.77779 29.449 | 0.0599295 -0.93316 | 3241.74 7800.35
3.16503 29.7594 | -2.86903 -1.33468 | 7839.15 5611.44
3.56802 30.0591 | -5.43419 0.265649 | -7042.14 -11702.7
3.9792 30.3336 | -2.5631 -1.14374 | -9001.89 7649.93
4.39309 30.598 | -2.57587 -2.43552 | 5344.61 -4903.39
4.82824 30.8297 | -1.36693 -2.04334 | 7780.58 4762.45
5.28556 31.0308 | 1.53073 -3.29681 | 1934.97 -492.855
5.75765 31.1976 | -1.67332 0.336943 | -11303.6 -1951.99
6.23278 31.3309 | -3.83361 -1.74971 | 2969.57 3107.7
6.71681 31.4326 | -3.34659 -0.951113 | -412.554 -6009.31
7.20692 31.4945 | 0.615253 -2.8879 | -567.766 9932.99
7.70008 31.535 | -0.327054 -3.95119 | 6591.66 -4442.22
8.19845 31.5345 | -2.80073 -1.8655 | -8880.01 -2086.56
8.69058 31.4937 | -1.29805 -5.61954 | 6882.43 8466.22
9.18346 31.4247 | 0.67942 -1.54126 | 5161.96 -9990.17
9.67148 31.305 | 0.502807 1.17676 | -4767.08 525.984
10.147 31.1498 | -1.43196 0.697733 | 477.343 5072.68
10.6146 30.9747 | -0.457628 0.403356 | 791.241 -5737.45
11.0749 30.7763 | 1.51452 -1.53075 | 4251.3 8267.82
11.5332 30.5711 | 1.08177 1.8955 | -2143.15 -6243.38
11.9812 30.3414 | -1.27223 2.27597 | 8055.4 1824.01
12.4233 30.0923 | -0.902286 0.803044 | -5203.05 -6868.56
12.8461 29.8132 | -0.526059 -0.932457 | -6260.43 5602.13
13.254 29.5206 | -1.56336 -0.935996 | 6640.57 -4439.41
13.6606 29.2191 | -0.483778 0.906316 | -2930.01 -1379.33
14.067 28.9202 | 1.9816 0.499205 | -3677.52 15041.5
14.4804 28.6448 | -0.0550882 -0.792779 | -4953.51 -9847.29
