21.1384 -41.4156 | 2.21257 3.15965 | 1008.26 -236.804


-13.768 68.0434 | 4.3499 7.26313 | -530.935 -154.215
-13.2787 67.9443 | 3.30728 6.65251 | -1157.36 -353.706
-12.7841 67.8825 | 2.90788 6.6763 | -1219.03 -773.479
-12.2871 67.8599 | 2.86091 5.74524 | 1157.71 131.488
-11.7892 67.8804 | 2.61385 3.71925 | 1536.64 2488.27
-11.2937 67.946 | 2.20552 2.97236 | 1107.48 604.776
-10.803 68.0483 | 1.81349 2.49937 | 1286.81 -846.817
-10.3174 68.1771 | 1.40528 2.09794 | 1268.36 -32.3965
-9.83653 68.3266 | 0.854322 1.98122 | 922.774 1459.32
-9.36014 68.4929 | -0.0168663 1.96155 | -291.539 -622.194
-8.88739 68.6676 | -0.876185 2.40009 | -1715.29 -2590.49
-8.41795 68.8446 | -0.972581 2.48906 | -3853.57 -29.3661
-7.95337 69.0243 | -1.06903 3.62909 | -4721.69 -1097.17
-7.49289 69.2028 | -0.755784 4.78898 | -2938.76 -1532.22
-7.033 69.3739 | 0.22098 4.4395 | -1136.76 -427.725
-6.57056 69.534 | 0.821305 4.57249 | 922.992 -2786.61
-6.10354 69.68 | 1.41201 4.65267 | 310.346 2960.31
-5.63416 69.8213 | 2.16109 3.93303 | 54.8037 2756.92
-5.16234 69.9574 | 2.89843 2.98816 | 599.57 1488.06
-4.68541 70.0782 | 3.39809 2.05833 | 992.146 1543.28
-4.20105 70.17 | 3.25893 0.772139 | 1376.78 -2291.13
-3.70951 70.2156 | 2.48346 -0.749356 | -185.395 -635.903
-3.21604 70.2105 | 2.06143 -2.10476 | -1542.05 -385.362
-2.72636 70.1563 | 2.23846 -2.79884 | -85.3816 -1975
-2.24278 70.0601 | 2.0044 -2.82428 | 1622.55 937.453
-1.76348 69.9395 | 1.4881 -1.45706 | 1794.49 3338.11
-1.28589 69.8088 | 1.04085 -0.689622 | 1592.72 436.553
-0.809622 69.6683 | 0.528235 -0.726209 | 1763.28 341.702
-0.335285 69.5163 | 0.246067 0.00255203 | 935.82 -1721.26
0.135115 69.3485 | 0.150364 0.653027 | 75.2004 -246.229
0.600757 69.1669 | -0.0105878 0.733199 | 484.38 774.807
1.06228 68.9744 | -0.452704 0.651882 | 6.39595 -2313.92
1.51964 68.7708 | -1.06011 1.06487 | 119.693 1613.31
1.97531 68.5642 | -1.55641 1.7534 | -57.6948 1546.97
2.43041 68.3575 | -1.65141 2.15469 | 256.572 -52.9211
2.88453 68.1483 | -1.5324 1.9833 | -534.977 -1464.37
3.33664 67.9342 | -1.36616 1.96822 | 3.53285 -1437.43
3.78862 67.7189 | -1.63616 1.35017 | 177.683 239.629
4.24399 67.5108 | -1.80197 0.231979 | -858.051 -1158.42
4.70542 67.3176 | -1.54669 -0.760119 | -618.899 -290.513
5.17691 67.1523 | -0.823544 -0.703693 | 502.522 1496.69
5.66122 67.0305 | 0.158096 0.771074 | 1464.66 2364.33
6.15667 66.9618 | 1.0185 2.84624 | 617.976 674.519
6.65756 66.9453 | 1.39542 2.85715 | 1134.13 -1426.28
7.15899 66.9767 | 1.70968 2.14016 | 1176.41 581.888
7.65595 67.0576 | 1.73059 2.51601 | -50.8776 -280.114
8.14238 67.1877 | 1.25709 2.5937 | -512.145 17.8287
8.61179 67.3681 | 0.393487 3.51061 | -1951.54 151.508
9.05664 67.5992 | -0.218563 5.20023 | -2736.17 -535.864
9.47103 67.8775 | 0.791009 4.80674 | -1599.21 -585.105
9.85332 68.1963 | 1.068 4.81996 | -1342.43 520.216
10.2055 68.5474 | 0.834726 4.48324 | 285.676 -367.124
10.5359 68.9191 | 1.023 2.92319 | 1739.24 -925.368
10.8541 69.3018 | -0.0329741 2.10972 | 2603.42 -340.31
11.1655 69.6914 | -0.764043 1.77315 | 269.847 38.9062
11.4681 70.0881 | -0.819434 2.19105 | -1750.36 -516.144
11.7598 70.4917 | -1.16737 3.10179 | 1455.34 -1474.07
12.0433 70.9006 | -0.594242 2.77377 | -482.913 584.444
12.3155 71.3174 | 0.76139 1.74414 | -1677.93 1768.31
12.5755 71.7425 | 1.2495 1.29139 | -500.535 1570.99
12.8312 72.1712 | 0.381699 1.48273 | 1105.01 -658.063
13.0944 72.5953 | -1.28505 1.64257 | 1431.16 -1392.51
13.3727 73.0094 | -2.09428 1.39285 | 885.28 -28.8796
13.6676 73.4126 | -2.06291 1.28821 | 326.566 1282.3
13.9774 73.8058 | -2.02871 1.28684 | -182.794 821.85
14.3018 74.1878 | -2.16091 1.23273 | -671.293 123.029
14.6424 74.5556 | -2.33249 1.70081 | 1734.67 366.732
15.0029 74.9054 | -1.70281 2.12605 | 520.112 1447.9
15.3835 75.2351 | -0.264633 1.83141 | 519.2 -1274.98
15.7846 75.5387 | 0.703356 1.04873 | -742.939 -1907.17
16.2036 75.8144 | 1.05282 0.287439 | -3470.56 -607.98
16.6353 76.0642 | 0.645857 0.88815 | -2192.76 -961.712
17.0787 76.2874 | 0.0375489 1.5997 | -1344.57 -10.4507
17.5333 76.4839 | -0.315285 1.45129 | -1022.95 2004.67
17.9984 76.6525 | -0.716412 1.18319 | -899.348 2455.28
18.4745 76.7852 | -0.837844 0.659649 | -1057.26 -1069.36
18.9607 76.8651 | -0.67936 -0.143658 | 11.5149 -407.955
19.4526 76.882 | -1.06102 -0.884669 | 376.545 711.95
19.9422 76.8321 | -1.80057 -1.62783 | 233.082 2762.37
20.4194 76.7146 | -2.03536 -1.8243 | 450.15 30.9466
20.872 76.5239 | -1.2575 -0.911886 | -789.88 -726.352
21.287 76.2617 | 0.0545149 -0.256441 | -342.077 -1776.12
21.6585 75.9387 | 0.804073 -0.262684 | 1745.65 -337.415
21.9916 75.5734 | 0.43953 -0.668161 | 2328.62 449.822
22.2949 75.1809 | -0.493611 -1.09522 | 786.137 -1889.29
22.575 74.7693 | -0.764732 -0.806559 | 2392.35 1790.24
22.841 74.3482 | -0.59102 -0.291864 | -273.673 40.212
23.0937 73.919 | -0.30017 0.597738 | -1283.33 -1668.49
23.3353 73.483 | -0.442142 1.14047 | 787.933 1392.14
23.5746 73.0465 | 0.639067 1.67127 | -370.47 1236.08
23.8156 72.6123 | 0.871514 2.01554 | -1351.04 1305.71
24.0614 72.1824 | -0.0855868 2.10757 | -1512.86 -543.872
24.3172 71.7586 | -1.04077 1.85003 | 814.9 -1752.35
24.5929 71.3459 | -0.908582 1.63109 | 1251.13 -323.464
24.8963 70.952 | -0.246685 1.62292 | 2147.6 803.174
25.2308 70.5831 | -0.148735 2.39951 | 196.958 15.2665
25.5916 70.2391 | -0.425915 3.33962 | 251.635 -892.416
25.9738 69.9176 | -0.0758555 4.13872 | 933.839 -2812.2
26.3745 69.6162 | 1.01916 5.38769 | -996.763 -1285.67
26.7922 69.3386 | 1.96789 6.30125 | -291.921 2525.67


-36.5184 31.303 | 3.54187 0.0655468 | -4062.23 912.001
