-16.5679 88.735 | -0.319947 1.86446 | -4715.02 10810.7
-16.1122 88.9299 | -1.48984 -0.770824 | 416.616 -2935.74
-15.6577 89.1288 | -1.82709 1.95636 | 11051.8 -701.085
-15.191 89.3181 | -0.447303 -0.0089787 | 5619.23 3649.18
-14.7156 89.4985 | 0.314023 -3.95937 | -9723.92 1143.23
-14.2399 89.6624 | -0.571898 0.0525347 | 4868.51 -9520.88
-13.7533 89.7897 | -0.954102 0.71929 | -7848 1534.28
-13.266 89.8974 | -3.09262 -2.26811 | 4213.36 8140.63
-12.7714 89.9924 | -1.63033 -3.16968 | 12791.8 -5176.62
-12.2635 90.0525 | -0.639891 -0.624351 | -5953.37 -3382.96
-11.7566 90.0793 | -0.023185 -0.655374 | -9696 969.449
-11.2564 90.0855 | -0.491134 -1.85179 | -1095.05 5373.26
-10.7582 90.0787 | -1.21802 3.76597 | -108.48 -1852.28
-10.2612 90.0454 | -1.05234 1.08608 | 3011.87 -2550.7
-9.76581 89.9802 | -1.711 -0.894928 | -5288.34 6456.04
-9.27821 89.8884 | 0.912811 1.52033 | 2761.2 -2362.49
-8.79821 89.7531 | 2.59299 1.50705 | 8150.66 -10368.8
-8.32837 89.5659 | 0.625892 0.702083 | -8978.43 3276.19
-7.87614 89.3509 | 4.00076 -0.468611 | 1215.61 1474.48
-7.42857 89.1267 | 4.93305 0.130063 | 8849.16 6156.77
-6.97564 88.9046 | 1.95763 1.15101 | 633.025 -3755.63
-6.52941 88.6653 | 0.277539 -1.94342 | -6134.67 -4158.49
-6.09973 88.4026 | 0.108683 -1.01684 | -3206.58 5466.11
-5.68099 88.1313 | 0.923305 -0.54485 | -2779.52 2604.04
-5.2698 87.8547 | 0.274923 -1.0816 | 2496.47 3729.24
-4.86241 87.5726 | 1.61449 1.46415 | 1577.88 -4168.66
-4.46561 87.271 | 2.85782 1.38302 | -449.494 -7596.9
-4.08301 86.9465 | -2.59784 -0.061408 | 201.452 3273.68
-3.70551 86.6177 | -0.854492 1.84253 | -1175.34 1114.22
-3.32748 86.2925 | 1.6315 2.46289 | -3499.31 6269.27
-2.94474 85.9797 | -1.55576 -1.21144 | 1484.94 -6910.04
-2.55282 85.674 | -0.280482 -1.379 | 1502.43 4249.62
-2.14536 85.3907 | 1.38269 2.42511 | -2006.61 2316.17
-1.72573 85.1296 | 1.7968 0.599477 | 217.809 559.727
-1.2969 84.8848 | 0.580911 -1.7377 | -4322.91 -6015.11
-0.864151 84.6474 | 0.901453 0.0507784 | 3790.75 -1020.99
-0.416973 84.4327 | 3.8827 1.31389 | 442.227 2295.61
0.0461733 84.2553 | 0.801043 1.42488 | -1530.68 4916.06
0.522892 84.1188 | -0.387982 -0.135026 | 13763 -8308.81
1.01664 84.0061 | 0.46348 -4.25513 | -339.928 -6489.98
1.51757 83.9222 | -0.863951 0.669937 | -5954.41 10623.3
2.02056 83.897 | -0.145369 1.91882 | 5712 -2627.7
2.52587 83.9219 | -0.423591 -2.795 | -9850.48 2771.04
3.02059 83.9994 | -0.936998 1.39412 | 7205.14 4140.92
3.51126 84.1193 | -0.878388 2.08237 | -897.15 -7327.08
3.99495 84.2592 | -0.820077 0.485889 | -4131.85 -1435.93
4.46743 84.4245 | 3.00583 0.104205 | 2082.72 3193.85
4.92883 84.6221 | 2.22685 -2.02996 | -3630.55 2213.39
5.3762 84.8483 | 0.608758 -2.14345 | 8961.33 -3960.38
5.81982 85.0899 | 3.83652 -2.85581 | -3109.22 1514.12
6.24807 85.3568 | 0.476198 -1.05546 | -4415.42 8587.32
6.65936 85.6522 | -2.37288 1.50585 | 15029.9 -758.915
7.07578 85.9506 | 3.27143 -1.09975 | -15353 -15425.5
7.47937 86.243 | 2.85638 1.02137 | -4347.94 2000.46
7.86849 86.5501 | 1.91658 2.55202 | 4713.21 10482.6
8.25069 86.8775 | 3.00504 -0.0206738 | 8227.36 2415.23
8.6385 87.2086 | 1.6493 2.50962 | 3917.05 -3776.71
9.03146 87.5339 | 3.61835 3.03864 | -14802.8 230.392
9.41454 87.8601 | 2.18459 3.15958 | 8474.92 -352.407
9.80996 88.1752 | -0.586466 1.56932 | -4053.56 -2802.29
10.2132 88.4742 | -1.18134 -0.0935061 | -8392.36 77.9324
10.6242 88.7544 | -4.34922 1.89591 | 13507.5 -7031.17
11.06 89.0016 | -2.15546 1.90988 | -11269.7 4040.2
11.4965 89.2386 | -0.709944 1.63706 | -782.369 6250.58
11.9405 89.465 | -0.630942 0.965434 | 8949.58 61.3475
12.4058 89.6575 | -0.0370388 -2.74396 | -2333.29 -8791.56
12.886 89.8009 | 0.0641358 -1.23644 | 1721.43 457.877
13.3762 89.9124 | 0.589578 -3.83464 | 1136.42 9980.85
13.8724 90.0093 | -0.0398452 -5.74469 | 4779.93 -3975.76
14.3773 90.0714 | 0.579612 1.0455 | 847.936 -5094.48
14.8857 90.0951 | 1.04381 -3.59181 | -5990.58 5977.6
15.3908 90.0958 | -1.81573 -4.26328 | 2221.87 -2503.92
15.8952 90.0638 | -2.62791 -0.355671 | -4568.58 -1168.61
16.3931 89.9988 | -2.77531 -0.639971 | -3333.41 -867.998
16.8844 89.906 | -2.26743 -1.94841 | 5606.79 1232.27
17.3751 89.795 | 0.049862 -2.80562 | -425.6 -1572.54
17.8616 89.668 | 1.2815 -2.53528 | -6684.76 7193.09
18.3406 89.5337 | 3.26886 -1.86968 | 3839.61 -3836.5
18.8162 89.3777 | 0.0689412 -3.49618 | 3483.14 -10154.8
19.288 89.1974 | -0.928166 -1.52154 | 5.52392 10696.1
19.7599 89.0243 | -0.0814226 -2.56093 | -8950.11 -877.951
20.2258 88.8507 | 0.059013 -3.3317 | 3690.72 -4335.13
20.6963 88.6793 | 0.898303 -0.908812 | 10295.6 2993.37
21.179 88.5262 | 1.47634 1.13095 | -7943.17 -3017.45
21.662 88.3879 | -0.350185 1.83017 | -2834.11 6358.15
22.1489 88.2779 | 0.435178 1.52565 | 1835.23 -5736.87
22.6419 88.1873 | 1.38781 0.842471 | 5859.79 -4105.19
23.1439 88.1287 | -1.5926 -0.404275 | -2125.21 10788.4
23.6478 88.1289 | -4.08501 1.29162 | -1158.63 -1911.33
24.1483 88.1729 | -3.814 3.18611 | -3917.72 -6974.96
