-15.3667 -66.3142 | 1.89634 -1.16085 | -9562.62 -2181.15
-14.9808 -66.01 | -0.721948 -3.27745 | 13838.4 6516.95
-14.5818 -65.7084 | -1.00008 -1.24965 | -8654.95 3312.04
-14.1772 -65.4178 | 0.0469164 -0.0262448 | 5772.42 -6125.13
-13.7476 -65.1646 | -1.98679 1.0164 | 3729.48 -5436.78
-13.2969 -64.9495 | -1.80939 -3.3465 | -7000.7 4533.3
-12.841 -64.7494 | -2.39445 -3.82521 | 9268.52 9850.96
-12.372 -64.5607 | 0.244075 0.0651137 | -724.168 -8525.77
-11.8927 -64.4077 | -0.0528613 0.23825 | -12253.3 -1725.57
-11.4128 -64.2839 | -3.06092 -0.491206 | 9742.82 3523.37
-10.9212 -64.184 | -2.71228 1.03888 | 3263.14 2137.3
-10.4221 -64.1108 | -2.30876 2.51347 | -5019.88 -2107.96
-9.92286 -64.0733 | -3.32938 0.837387 | -5518.79 -4875.4
-9.42672 -64.0736 | -2.51324 0.577642 | -279.362 5574.98
-8.9315 -64.0934 | 0.412782 0.913263 | 6179.63 3416.35
-8.43495 -64.1364 | -0.726106 1.16278 | -8672.51 -2652.35
-7.94977 -64.2186 | -2.94283 3.44727 | -11302.5 -286.62
-7.47956 -64.3395 | -2.70102 0.0977176 | 15119.7 -935.236
-7.00679 -64.4888 | -0.286178 1.59318 | 11373.1 -3717.19
-6.53315 -64.6624 | 0.154731 3.12066 | -11987.4 -1612.23
-6.07211 -64.8514 | 0.571228 2.37867 | -884.437 12101.1
-5.61082 -65.0311 | 1.78136 1.08588 | 12146.9 -2638.97
-5.14463 -65.2214 | 1.39963 -1.47065 | 1165.84 -12608.6
-4.68711 -65.4434 | -0.381023 -3.44647 | -3192.42 5149.6
-4.23849 -65.6769 | 0.115293 -0.368264 | -2183.19 2254.75
-3.79586 -65.9183 | 1.25199 1.77517 | 5014.66 -9139.31
-3.35304 -66.1704 | 1.35596 1.57054 | 97.0036 948.753
-2.90538 -66.4106 | -0.823673 -1.02987 | -13980.5 14391.1
-2.45475 -66.616 | -2.75775 -1.10058 | 3286.46 270.142
-1.99333 -66.7986 | -1.81318 -1.60636 | 5318.19 -7820.86
-1.52264 -66.9734 | -1.23487 -3.80118 | 4997.17 644.568
-1.04333 -67.1332 | -0.674748 -3.5719 | -9329.01 96.0952
-0.56448 -67.2777 | -0.67965 -2.75003 | 2513.55 -4751.85
-0.0774937 -67.401 | -0.860869 -0.161873 | 7650.37 3616.52
0.422591 -67.4799 | 0.92995 0.884216 | -5668.98 8029.73
0.923463 -67.5079 | 0.443661 0.843871 | -8528.18 -1443.69
1.41835 -67.5089 | -1.57922 -1.45015 | -1698.84 -10955.6
1.9106 -67.5012 | -2.53741 -0.694512 | -3315.61 3544.63
2.3995 -67.4603 | -1.71535 -0.0594674 | 8718.2 -329.497
