8.34085 30.596 | 0.900443 -2.34688 | -4091.75 8826.15
8.8337 30.559 | 0.5653 -1.57825 | -8298.92 -9835.31
9.31668 30.477 | 1.06039 -1.4343 | 13425.2 9809.95
9.80297 30.3768 | -0.0455895 -1.9365 | -2155.46 -3209.06
10.2791 30.2423 | 3.57093 4.22177 | -16748.5 239.745
10.7336 30.0747 | -0.915736 2.35924 | 9639.61 5555.32
11.1841 29.8901 | -5.28102 0.821897 | -6124.38 626.594
11.6206 29.6805 | 0.409979 1.167 | 5934.3 -5063.88
12.0498 29.4428 | 2.54197 0.330342 | 12594.3 -6348.82
12.4788 29.1847 | 0.836428 -1.78361 | -9528.71 -783.116
12.9008 28.92 | -0.697506 -2.8398 | 12441.9 1558.17
13.3386 28.6706 | -0.263893 3.40672 | -2188.83 6642.52
13.7843 28.4413 | 2.66945 2.44745 | -5294.32 -6572.98
14.2296 28.2154 | 0.923026 -2.52614 | 1049.69 3262.07
14.6808 28.0054 | 0.799296 -0.551451 | -10503 2992.84
15.1328 27.8139 | 0.841466 0.658756 | 7303.45 -4567.07
15.5977 27.6412 | 0.488635 -3.3265 | 1194.55 -5100.45
16.0753 27.4982 | 2.6875 -3.76126 | 4381.25 10435.7
