-17.6664 65.6229 | 1.39339 -0.678924 | 4890.51 -2720.36
-17.1645 65.5988 | 0.890861 -0.233798 | 7614.08 -3040.7
-16.6571 65.5758 | 1.18673 2.15124 | -4121.77 585.36
-16.1513 65.5637 | 1.12636 1.35622 | -387.886 2905.04
-15.6458 65.5705 | -0.555263 -3.09711 | 435.733 -1366.47
-15.1404 65.5933 | -0.97653 -0.880348 | 2818.88 -4592.71
-14.6345 65.635 | 0.228398 1.64581 | -600.509 9479.81
-14.1337 65.7176 | 0.137044 4.28517 | -7033.86 -1980.08
-13.6426 65.8267 | -0.952551 4.50627 | 4827.07 -2623.26
-13.1538 65.9533 | -0.6635 0.710641 | 75.0545 -2124.7
-12.6715 66.1009 | -0.893777 0.60634 | -5268.67 -253.615
-12.2038 66.2803 | -0.0550762 2.45371 | -235.43 5526.84
-11.7515 66.4987 | 1.8405 1.24458 | 4215.29 -87.5272
-11.3099 66.7434 | 1.45728 0.40416 | 261.786 -2206.73
-10.8804 67.0077 | 1.03533 0.890589 | -3961.35 -1974.49
-10.4672 67.2922 | 0.586918 0.362159 | 4067.85 45.958
-10.0677 67.6002 | -0.32335 -0.499441 | 6232.78 7859.48
-9.68746 67.9411 | -3.12637 0.866265 | -5152.98 -472.161
-9.33919 68.3093 | -5.20064 1.31396 | -9834.74 -13809.9
-9.02647 68.6919 | -1.59328 1.05584 | -897.002 -4227.13
-8.74637 69.0932 | 0.941188 -2.05319 | -4961.5 4448.28
-8.50171 69.5185 | -2.24403 -3.25552 | 8065.09 5742.28
-8.26919 69.9583 | -4.455 0.106922 | 5649.78 662.017
-8.04288 70.4053 | -7.26299 0.54803 | -7656.67 4844.51
-7.83275 70.8612 | -3.84227 -1.30826 | 4656.75 -3174.78
-7.61638 71.3127 | -2.23154 0.511007 | -5877.93 -5340.75
-7.39239 71.7541 | -3.70841 0.707435 | -4178.53 -1154.32
-7.14646 72.1809 | -1.7682 0.0615255 | 13593.6 -2675.29
-6.85431 72.5833 | -0.089858 -0.766021 | 4472.03 10847.9
-6.53773 72.9789 | 0.101541 -2.3574 | -930.529 7933.18
-6.21261 73.3731 | -3.97258 0.248186 | -8836.34 -6068.43
-5.88057 73.7532 | -3.08388 0.836396 | 3367.44 -2468.92
-5.5247 74.1111 | 1.55823 -1.14241 | 4071.96 3774.68
-5.14172 74.4462 | 1.0439 -0.374221 | 4732.9 0.238897
-4.73179 74.7532 | -0.866348 0.966371 | 404.945 1344.51
-4.30251 75.0331 | -1.67039 2.82377 | -7245.46 -3779.4
-3.86079 75.281 | -0.306628 0.975915 | -1709.82 -4482.52
-3.40445 75.4934 | 0.330325 -0.617386 | 358.747 3351.16
-2.93505 75.6778 | -1.84802 1.67794 | 3364.04 -387.823
-2.45157 75.8293 | -1.52414 2.36106 | 1540.07 424.086
-1.95748 75.947 | -0.108325 3.95493 | -2051.7 877.714
-1.45726 76.0287 | -0.972015 2.16184 | 1237.66 -5691.3
-0.951409 76.0662 | 0.331199 0.598466 | 699.76 4140.04
-0.443049 76.0726 | 0.964735 0.383604 | 4617.76 -4526.16
0.0674728 76.0431 | 0.847633 0.449293 | -2004.83 -2482.01
0.573781 75.9888 | 1.09065 -1.03453 | -12656.3 2242.34
1.07017 75.9299 | -0.51589 -2.57987 | -2368.25 8273.09
1.56539 75.8817 | -0.410861 -3.84048 | 12076.1 -11960.2
2.06822 75.8272 | 0.348169 -5.0276 | -1885.35 8506.87
2.57167 75.7937 | 1.08253 -3.68519 | -7228.19 7712.07
3.07121 75.7761 | 1.50695 -1.9381 | 4520.01 -17001.3
3.57261 75.7395 | -0.684059 -1.83941 | 2421.33 10811.3
4.07523 75.716 | -1.84796 -0.62711 | -11154.6 1424.13
