25.9206 37.9339 | -0.623202 -0.339443 | -831.417 247.65
26.4168 37.9727 | -0.428652 -1.2863 | -717.644 112.933
26.9108 38.0295 | -0.319809 -1.74352 | 509.494 936.191
27.4034 38.1 | -0.461875 -0.920383 | 303.738 -88.9064
27.8951 38.1758 | -0.358394 -0.039599 | -262.606 -1827.29
28.3866 38.249 | -0.0836748 1.13243 | -318.417 357.61
28.8783 38.3179 | -0.025727 1.4028 | -245.296 235.898
29.3707 38.3792 | -0.118677 1.75115 | 551.977 -1816.3
29.8646 38.428 | -0.418732 3.38848 | 794.722 -1562.01
30.36 38.4665 | -0.858278 3.79655 | -430.3 1617.44
30.8555 38.5033 | -1.29454 2.78096 | -1048.04 890.554
31.3505 38.5394 | -1.64829 2.01034 | 547.294 -1325.09
31.8461 38.5718 | -1.62078 1.5398 | 1504.54 -1829
32.343 38.6024 | -1.39702 0.936038 | -544.913 607.015
32.8391 38.64 | -1.22041 0.0732907 | -2069.61 1829.8
33.3327 38.6904 | -0.960626 0.384441 | -892.354 -246.351
33.8244 38.7504 | -0.607062 0.092503 | 468.048 -725.847
34.3156 38.8169 | -0.294894 -1.23832 | 882.407 1120.52
34.8067 38.8894 | -0.0487967 -2.64025 | 724.722 -577.678
35.2984 38.9628 | 0.210671 -3.01057 | 301.006 -1229.16
35.7905 39.0345 | 0.494101 -1.55381 | 69.3263 1347.6
36.2828 39.1066 | 0.78865 -0.692118 | -64.0688 380.524
36.7755 39.176 | 0.930439 -0.0456428 | -568.126 -333.399
37.2686 39.238 | 1.03952 -0.0521551 | -969.728 374.463
37.7622 39.289 | 1.13504 -1.386 | -325.735 -323.429
38.2569 39.3242 | 1.26171 -2.69835 | 665.981 203.034
38.7532 39.3405 | 1.40693 -3.72125 | 914.474 894.185
39.2505 39.3349 | 1.57007 -3.73817 | 675.303 -1507.54
39.7474 39.3018 | 1.63392 -3.36596 | 174.126 1008.09
40.2421 39.2425 | 1.40459 -3.29934 | 227.868 619.008
40.7329 39.155 | 1.15214 -3.05405 | 745.132 -898.334
41.2174 39.0353 | 0.986439 -2.5655 | 428.624 -899.094


18.1348 0.0120114 | 2.84802 4.64023 | -404.694 -1601.2
18.5872 -0.201582 | 1.91598 2.33938 | 264.609 887.909
19.0556 -0.376792 | 1.27166 0.582572 | 339.799 645.985
19.538 -0.50839 | 0.835217 -0.141095 | -329.227 574.776
