-72.0309 -28.0507 | 3.91679 -0.668136 | 19568.8 3418.18
-71.8124 -27.5889 | -0.64107 3.23728 | -5767.68 -12655.6
-71.5984 -27.133 | 0.315918 -0.756506 | -4879.3 9430.38
-71.4063 -26.663 | -0.397615 -1.01891 | -2706.8 11487.3
-71.2289 -26.1824 | -2.59383 4.91724 | 6189.1 -26057.7
-71.0419 -25.722 | -1.76573 2.38786 | -10344 -8324.64
-70.8672 -25.2656 | -4.6479 1.8575 | -918.904 20657.5
-70.6972 -24.7949 | -0.665738 0.510196 | 10385.9 -3046.53
-70.5037 -24.3307 | -0.930015 -0.0709946 | -5393.92 335.338
-70.2969 -23.8727 | 0.480245 2.00249 | 5686.39 2618.38
-70.0656 -23.4235 | 0.773259 -3.25579 | -17779.9 2389.61
-69.8167 -22.9873 | 0.831528 -0.138217 | 24671.5 3085.15
-69.493 -22.5915 | 3.73493 -0.025283 | 2455.7 -9943.31
-69.1146 -22.2509 | 3.2128 -2.02718 | -12793.8 -4995.17
-68.7137 -21.9487 | 2.64085 0.843095 | 7029.14 15280.5
-68.2902 -21.6657 | 0.808082 1.23363 | -8571.4 -11057.8
-67.8482 -21.4275 | -1.12776 -0.736894 | 3958.7 -1845.04
-67.3833 -21.2322 | -0.610135 1.3453 | 8740.34 7349.63
-66.8981 -21.0676 | -0.700612 3.13139 | 511.602 5237.54
-66.3985 -20.9409 | 1.00513 3.82128 | 10736.5 -12248.4
-65.8823 -20.8802 | -1.03834 1.29213 | -13576.6 3226.7
-65.3726 -20.8686 | -0.728203 1.26486 | -16662.3 -572.232
-64.8756 -20.9082 | -0.449781 2.23577 | 16221 -5259.91
-64.376 -20.9996 | -2.91144 0.211074 | -914.871 925.193
-63.8854 -21.1284 | -1.72796 0.607903 | -13866.4 8955.41
-63.4128 -21.2841 | -2.2122 1.47387 | 10297.5 -10121
-62.9488 -21.4816 | -2.70338 1.24482 | -6236.73 2192.81
-62.4996 -21.705 | 1.31095 1.48135 | 5711.19 -1660.9
-62.0549 -21.9434 | -1.57626 0.715786 | -3967.55 5958.14
-61.6158 -22.1855 | -1.6892 2.90861 | 2933.07 -7828.37
-61.1789 -22.4373 | -0.30302 -2.44351 | -6495.42 4291.56
-60.742 -22.6796 | 2.01405 0.293812 | 7314.07 11775.2
-60.2938 -22.9011 | -2.4179 2.69564 | -4490.87 -18172.2
-59.8506 -23.1379 | -1.59176 1.40182 | 1719.97 12439.9
-59.4021 -23.3588 | 0.202632 1.66859 | -3306.04 -6028.22
-58.954 -23.5774 | -1.3071 2.2403 | -4921.5 -2101.91
-58.5036 -23.7815 | 2.18732 3.75421 | -8224.53 15556.6
-58.0459 -23.9436 | 1.09987 -0.19694 | 3617.55 -11365.6
-57.5778 -24.0882 | 0.138742 0.733568 | 8794.47 -7599.12
-57.0942 -24.2016 | 0.837049 1.30579 | -5829.99 11624.7
