10.9365 -45.3993 | 2.23744 -1.44315 | -1970.07 -201.97
11.4132 -45.2337 | 1.01101 -0.316378 | -3986.37 -172.259
11.8821 -45.0565 | 0.744881 0.310881 | -4977.1 749.495
12.3436 -44.8708 | 0.34705 1.27531 | -1051.98 -2562.75
12.8041 -44.6883 | -0.265538 2.09703 | 1284.57 -4131.14
13.2669 -44.5131 | 0.0900361 1.78334 | -931.375 3256.62
13.728 -44.3332 | 1.06613 1.00007 | -1950.17 4963
14.1876 -44.1494 | 1.94243 -0.247673 | -130.416 5.13473
14.6536 -43.9825 | 2.30083 -1.86798 | 2325.25 -3032.42
15.1324 -43.8528 | 1.92466 -2.12358 | 3340.92 -3635.53
15.6231 -43.766 | 1.18862 -0.743584 | 1569.45 736.167
16.1198 -43.7099 | 0.751437 -0.763422 | -1433.82 3412.92
16.6175 -43.673 | 0.886977 -1.65905 | -2133.13 1847.09
17.1146 -43.6569 | 1.19581 -0.375816 | -1687.43 1163.06
17.6102 -43.67 | 1.22393 2.08878 | -428.78 -852.811
18.1025 -43.724 | 1.3054 3.42196 | 1119.65 -1232.19
18.5882 -43.8249 | 1.65722 3.39003 | 1137.73 2617.01
19.0624 -43.9716 | 1.50381 1.82155 | -397.64 -250.464
19.5168 -44.171 | 0.64936 -0.870431 | 296.925 -4504.55
19.9447 -44.4261 | 0.160863 -3.13058 | 1276.94 -1863.62
20.3467 -44.7237 | -0.342332 -4.84999 | 63.3787 1722.17
20.7275 -45.0474 | -0.798603 -5.2293 | -876.7 1726.04
21.0924 -45.3873 | 0.655663 -3.20882 | 2358.94 1291.56
21.4482 -45.7378 | 1.62447 -2.08418 | 1979.9 -2755.49
21.7951 -46.1007 | 1.08145 -2.63871 | -330.281 -2075.82
22.1328 -46.4737 | 1.01442 -2.82189 | 789.101 2859.2
22.4654 -46.8501 | 1.13539 -2.75235 | -2602 464.698


-14.3273 80.8289 | 4.78548 7.153 | -1064.31 -2229.95
-13.9374 80.5155 | 1.81252 3.30549 | 611.145 2370.01
-13.5211 80.2397 | -0.257861 1.15074 | -1425.92 -31.186
-13.0827 80.0032 | -1.16075 0.630285 | -1492.38 2117.6
-12.626 79.8093 | -1.30282 0.767396 | -915.732 1942.03
-12.156 79.654 | -1.70121 -0.467703 | -270.273 -3806.64
-11.6777 79.5247 | -2.17186 -1.70255 | 738.842 -261.296
-11.1923 79.422 | -2.26218 -2.94188 | 330.086 834.85
-10.7021 79.3453 | -1.52137 -3.77134 | -842.314 -1001.86
-10.2097 79.2893 | -0.710659 -3.75014 | -1511.96 -175.12
-9.71676 79.2521 | -0.448075 -2.63497 | -850.874 75.5746
-9.22336 79.2318 | -0.520264 -1.89963 | 1973.92 1481.56
-8.72791 79.2255 | -0.632744 -0.129123 | 3147.54 2513.44
-8.22967 79.2236 | -0.425719 2.76554 | 2240.74 -3296.86
-7.72952 79.2061 | -0.109571 3.89425 | 1486.37 -3108.11
-7.229 79.166 | -0.230789 1.56885 | 1070.35 2531.66
-6.72933 79.1088 | -0.7131 -1.81285 | -657.575 371.65
-6.233 79.029 | -1.30489 -2.05164 | -239.426 -3651.46
-5.74156 78.9202 | -1.76851 -1.49172 | 3191.79 2163.11
-5.25327 78.7893 | -2.31812 -2.44204 | 2149.13 286.673
-4.77086 78.6325 | -3.08049 -2.87428 | -183.444 -2104.52
-4.30012 78.4424 | -2.73915 -1.0655 | -1458.37 -222.777
-3.84561 78.2183 | -1.45543 1.29423 | -1836.83 -116.423
-3.41035 77.9612 | -1.18966 1.9838 | -1280.55 -1296.7
-2.99483 77.6737 | -1.23317 2.48842 | 1248.54 -132.569
-2.59527 77.3632 | -1.07123 3.14624 | 967.959 -81.3704
-2.20992 77.0346 | -1.13615 2.69372 | -2311.41 113.023
-1.83945 76.6914 | -0.935245 2.00872 | -948.403 2229.43
-1.47924 76.3401 | -0.824834 1.89672 | 668.172 610.179
-1.12568 75.9829 | -0.651356 2.35492 | -506.037 1484.27
-0.779035 75.6209 | -0.741668 2.80814 | -2140.62 2371.28
-0.441323 75.254 | -2.04522 2.19172 | -1938.59 385.014
-0.112914 74.8805 | -3.95287 0.562015 | -781.08 -2636.28
0.210394 74.5011 | -5.17724 -0.7484 | 2780.9 -1167.45
0.53928 74.1239 | -4.33466 -0.228042 | 1063.2 -173.898
0.878943 73.7554 | -2.42049 1.31847 | -2181.14 -495.218
1.23234 73.4012 | -2.61775 0.992596 | -62.2324 -576.217
1.60878 73.0718 | -2.53494 1.05217 | 3618.49 1223.57
2.01709 72.7805 | -0.958813 3.08773 | 994.85 298.812
2.45469 72.5342 | -0.92701 3.56325 | -1199 -477.887
2.91632 72.338 | -1.59717 3.23959 | -123.93 3199.67
3.39819 72.2011 | -1.56549 2.80498 | 147.142 -1455.12
3.89336 72.1212 | -1.23417 1.19477 | 1214.92 2382.79
4.39567 72.1014 | -0.74404 1.29071 | -168.028 3854.74
4.89786 72.1352 | -0.407862 1.58995 | -276.121 -3659.79
