-8.70176 70.113 | -1.89742 -0.812775 | -3391.88 -6298.6
-8.38187 70.4963 | -2.31595 -1.79923 | -1301.95 -6583.03
-8.05499 70.8676 | -1.62847 -1.14514 | 4344 70.9846
-7.71933 71.2328 | -2.0256 0.866772 | -7462.32 5001.17
-7.38761 71.6013 | -1.76043 1.61255 | 5193.05 -74.4143
-7.04301 71.9619 | 0.522739 1.22848 | 6683.2 -1024.46
-6.68194 72.312 | 1.23754 -0.0606839 | -764.756 9009.4
-6.3158 72.6648 | -0.146292 0.238218 | 9711.76 1790.66
-5.93704 73.0125 | 0.0238667 -0.698956 | -5570.54 -954.363
-5.55982 73.3554 | 1.12932 -2.9568 | -14763 -7522.55
-5.18909 73.6869 | 1.32414 -2.31335 | -967.797 -9404.14
-4.80876 73.9966 | -0.9733 0.136739 | -3038.93 1827.62
-4.42058 74.2949 | -1.99218 -0.364084 | 5415.05 7755.22
-4.01738 74.5833 | -1.80706 -2.02404 | 882.12 1183.92
-3.59553 74.8473 | -1.60578 -2.84959 | 3454.55 -6089.45
-3.15115 75.0725 | -0.359377 0.320041 | 846.207 3211.68
-2.69304 75.2712 | -0.840665 4.4062 | -4155.84 -355.009
-2.22849 75.4465 | -0.534481 2.25257 | -1740.62 -1102.74
-1.75842 75.6004 | 0.40937 2.11783 | -3120.05 5975
-1.28409 75.7377 | -2.3552 4.26409 | 2840.29 86.4092
-0.798691 75.8393 | -2.77469 2.53118 | 5949.76 -1060.92
-0.301487 75.8891 | -2.3028 0.319191 | -105.946 -9679.18
0.197933 75.8797 | -3.73921 0.476744 | -5920.12 5515.93
0.691585 75.8436 | -3.31634 2.07455 | -3964.85 8338.27
1.17996 75.7938 | -2.80888 1.4014 | -1379.29 -7632.82
1.66322 75.7121 | -2.19448 1.12538 | 1632.95 -3426.45
2.14428 75.6141 | -2.06962 1.00986 | -4119.74 11509.5
2.62471 75.5296 | -2.47868 0.290746 | 6358.87 -3725.05
3.11034 75.4437 | -0.504951 -1.58609 | 8683.74 -3377.18
3.60206 75.353 | -0.188413 -1.51233 | -2344.42 1604.94
4.09299 75.263 | -0.577562 -1.62684 | -3626.39 -6342.2
4.58215 75.1734 | -0.672691 -2.86823 | -76.3307 3155.5
5.07547 75.1107 | -0.349774 -2.77014 | 8873.8 8832.46
5.57786 75.0883 | 2.4905 -4.21981 | -1331.81 -8927.74
6.08089 75.0822 | 2.80549 -3.26772 | -2952.15 -219.716
6.5821 75.1039 | -0.427882 2.24352 | 5703.76 10756.6
7.08401 75.1659 | -0.693481 0.0141143 | -2034.9 -4350.61
7.58295 75.2399 | -0.827101 -0.254082 | -485.682 -5563.6
