52.7476 -22.1048 | -1.53393 -0.540368 | 7877.38 1230.12
53.2434 -22.0689 | -1.51577 -0.179173 | 4162.41 -1193.7
53.7424 -22.0539 | -1.72147 2.9017 | -12156.4 4615.77
54.2335 -22.0622 | 0.72389 0.72326 | -2800.37 -6471.64
54.7196 -22.1131 | 2.6919 1.89077 | 6655.89 647.209
55.2054 -22.1962 | 2.78429 1.17156 | -2224.17 1764.89
55.6866 -22.3031 | 0.864228 0.440924 | 8974.14 577.979
56.1691 -22.4307 | -1.7387 1.94459 | 4783.99 4310.97
56.6469 -22.5833 | -1.18532 2.49337 | -8532.8 -5693.77
57.1026 -22.7827 | -0.666846 -0.670779 | 706.061 6448.32
57.5371 -23.021 | -1.74174 -1.47771 | -336.577 -5464.67
57.9416 -23.3101 | -2.06768 -1.08194 | 1129.37 -4232.89
58.3154 -23.642 | -3.40357 -1.24684 | 5234.75 6871.3
58.6648 -23.9977 | -4.75994 -1.90903 | -10436.5 3285.93
58.9723 -24.3817 | -2.03141 -0.879955 | -3020.03 -3037.59
59.2468 -24.7903 | 0.394468 -0.76072 | 10667.4 -514.173
59.5136 -25.2086 | 1.71611 -2.86795 | -5799.88 1900.68
59.7651 -25.6329 | 0.82063 -2.3244 | 60.1324 2041.26
60.0121 -26.0576 | -1.83229 -2.54892 | 2980.81 5474.12
60.262 -26.478 | -3.9055 -2.17692 | -1748.89 -3899.97
60.5052 -26.9039 | -2.43645 1.23535 | -719.807 -1254.76
60.7423 -27.3338 | -1.35781 1.30951 | 1871.44 4495.4
60.9787 -27.7632 | -2.84098 -0.225263 | -918.1 -10556.5
61.2108 -28.2023 | -2.67505 -0.188868 | -1481.41 -8148
61.4516 -28.6425 | 0.836202 0.849336 | 7197.55 8852.59
61.7284 -29.059 | 2.47553 2.93977 | 3122.75 -241.01
62.0354 -29.4555 | -0.987949 2.34377 | -6333.74 -3142.97
62.3573 -29.8397 | -1.57743 2.3236 | 5427.51 -1815.77
62.7043 -30.2064 | -0.125299 0.472804 | -389.4 -4809.47
63.0734 -30.5531 | 2.73834 0.239506 | -3901.94 9970.93
63.4675 -30.8616 | 1.19187 2.39079 | 3457.85 -405.957
63.8866 -31.1376 | -1.2077 2.04307 | -3754.78 -6637.97
64.3216 -31.3883 | 1.19008 3.32334 | 2379.92 8334.8
64.7786 -31.5951 | 2.43363 5.25286 | 5377.68 -3971.57
65.2528 -31.7719 | 0.352724 3.63587 | -2620.36 -5656.3
65.7354 -31.9235 | -2.26813 3.29467 | -736.335 7806.72
