-9.22387 -14.0773 | 0.0927524 -1.45916 | 9793.74 3419.52
-8.76649 -13.8867 | 4.71561 -0.896253 | 6378.02 9592.44
-8.31486 -13.6666 | 1.47423 0.659114 | -2321.34 -5718.68
-7.87268 -13.436 | -2.24788 -0.573242 | -14543.3 -6388.8
-7.44638 -13.1982 | -1.49221 -5.91666 | 1993.03 6893.52
-7.02101 -12.9516 | 0.0448831 -4.71067 | 18512.2 866.83
-6.57651 -12.7151 | 3.02234 -1.1463 | 1124.07 -2379.13
-6.12558 -12.4881 | -0.818553 -0.770459 | -8114.46 3478.42
-5.6808 -12.2589 | -0.187489 -1.69517 | -6108 -4835.64
-5.23833 -12.0374 | 0.0688637 1.15793 | 2922.29 1207.16
-4.79011 -11.8245 | 1.22625 0.418461 | 1275.53 8436
-4.33493 -11.6228 | 4.62628 0.524816 | -8952.76 -16542.3
-3.87238 -11.4658 | 1.67586 1.84924 | -1742.75 4340.96
-3.40305 -11.3319 | -2.06005 1.63225 | 7652.6 8308.25
-2.92188 -11.2152 | -1.74001 0.0695267 | 4740.75 -4787.66
-2.42845 -11.1346 | -2.05207 2.99682 | 11017.9 29.0376
-1.92343 -11.085 | 0.286812 -0.708095 | -10041.4 3281.41
-1.42112 -11.0572 | -0.237807 -3.31741 | 9563 -3497
-0.912716 -11.0568 | 0.105447 5.10234 | -882.81 885.903
-0.406207 -11.0753 | -1.40322 -1.18551 | -17446.7 8648.08
0.0887532 -11.1072 | -0.894909 -0.804258 | 14246 -804.238
0.587356 -11.1796 | 3.0695 2.85957 | 1962.72 -14361
1.07504 -11.3191 | 2.47273 1.28472 | -9575.84 6560.63
1.54233 -11.4987 | 2.26756 2.67287 | -858.352 -1239.45
1.99541 -11.7101 | 2.72053 2.12163 | 4132.08 -2474.97
2.44313 -11.9398 | 0.0337581 1.12189 | 6012.11 9428.2
2.89133 -12.1708 | 2.63051 1.44538 | -3796.34 -283.9
3.3253 -12.4247 | 2.19038 -0.681774 | -244.764 -13608.5
3.73859 -12.7188 | 3.17653 -3.32374 | 1333.53 3511.12
4.14059 -13.0272 | 3.30093 -1.78036 | -126.372 11379.2
4.53442 -13.3376 | 3.20377 2.30932 | -4591.93 -6793.6
4.90727 -13.6706 | 2.33718 -0.535317 | -6474.39 6459.5
5.26005 -14.016 | 2.34674 1.04334 | 904.027 305.343
5.60226 -14.3722 | 2.37877 2.22482 | 2715.82 -6984.59
5.94145 -14.7397 | -0.401411 -3.6495 | 7361.14 -8967.97
