-30.7049 -9.901 | -0.300195 -1.74287 | 440.065 4017.53
-30.326 -9.57692 | -1.98109 -1.97886 | 1407.8 1057.65
-29.9325 -9.26767 | -2.55073 -1.4267 | 2166.04 876.732
-29.517 -8.98551 | -2.27007 0.278157 | 525.135 -923.62
-29.0771 -8.74287 | -0.89943 0.232086 | 1100 -443.66
-28.6131 -8.54877 | -0.0937161 -0.229509 | 2437.44 -2642.6
-28.1289 -8.41003 | 0.138564 -1.38985 | -2212.4 -4077.39
-27.6347 -8.32201 | 0.0885422 -2.57537 | -1822.77 5524.93
-27.1369 -8.26487 | -1.12307 -0.594905 | 273.61 -834.875
-26.6365 -8.24089 | -2.34178 1.77474 | -1065.16 -3168.69
-26.1363 -8.24864 | -2.92275 1.50338 | 1457.62 6655.24
-25.636 -8.27364 | -3.26919 -0.101265 | -210.629 2579.9
-25.1385 -8.32766 | -2.18151 -1.52266 | -1267.69 -7153.52
-24.6498 -8.432 | -0.769903 -2.58673 | -1087.23 -355.928
-24.1727 -8.57843 | -1.38757 -3.1165 | -2618.69 -543.352
-23.7074 -8.75613 | -1.57282 -2.19455 | 2524.32 -3807.24
-23.2457 -8.95066 | -0.694958 -1.66752 | 6041.65 5052.75
-22.7774 -9.13697 | 1.26749 -0.807721 | 171.177 -185.061
-22.3052 -9.31441 | 2.57258 0.771573 | -1766.11 532.551
-21.8308 -9.48179 | 1.69644 1.55511 | 47.0063 3882.93
-21.3537 -9.63795 | 1.31834 1.83733 | -2696.89 -5133.58
-20.8782 -9.79568 | 1.1941 2.42351 | -2654.84 -1288.09
-20.4015 -9.94624 | 0.162585 1.91795 | 4969.77 1314.09
-19.9148 -10.0743 | -1.05276 -0.22942 | 5293.93 36.8028
-19.4173 -10.1731 | -2.47256 -2.42562 | -637.1 5871.53
-18.9152 -10.2384 | -2.55369 -3.50138 | -3276.6 863.679
-18.4136 -10.2841 | -2.21708 -3.16486 | -2351.3 -3982.64
-17.9137 -10.3253 | -3.18734 -1.72009 | -950.798 -2355.67
-17.4141 -10.3613 | -3.60074 1.30705 | -87.1677 -1102.62
-16.9135 -10.3818 | -2.2853 2.40912 | 1030.99 530.464
-16.4113 -10.3724 | 0.530233 0.713103 | 4916.64 2283.8
-15.908 -10.3207 | 2.0011 -1.68507 | 1001.36 4669.7
-15.41 -10.2225 | 0.870758 -4.15528 | -2152.74 -290.645
-14.9212 -10.0895 | -0.262794 -5.47711 | 757.08 -2360.94
-14.4397 -9.93204 | -0.904011 -4.86316 | 268.069 1670.1
-13.9663 -9.75005 | -1.49235 -1.22409 | 944.804 1560.59
-13.5 -9.5482 | -0.816536 1.86145 | -31.143 -2525.16
-13.0399 -9.33516 | 1.19194 1.0795 | -2901.66 -2934.03
-12.5887 -9.11106 | 2.01281 2.2142 | -4494.43 1641.97
-12.1498 -8.86998 | 2.79908 1.70893 | -2401.78 704.507
-11.719 -8.61789 | 3.61314 -0.82935 | 1929.67 -2398.33
