51.3936 -16.3347 | 1.62874 0.0681298 | 1436.64 4694.87
51.7946 -16.6202 | 0.499952 -1.2815 | 6743.84 -7643.73
52.1845 -16.9323 | -1.29203 0.724398 | 5898.8 194.211
52.5618 -17.2662 | -2.59379 -0.288638 | -166.655 -4368.96
52.9145 -17.6282 | -3.23963 -0.995552 | -7218.47 4679.58
53.2353 -18.011 | -2.71764 -1.31145 | -3796.82 3688.96
53.5303 -18.4084 | -1.90188 -2.42798 | 5246.84 2091.01
53.8116 -18.8161 | -1.69212 -1.36766 | -1994.27 -1160.5
54.0713 -19.2382 | -2.91174 -1.78378 | 2285.48 -4716.24
54.3117 -19.6754 | -4.09415 -0.6338 | -4547.96 1756.06
54.5333 -20.1202 | -2.51844 0.710538 | 2889.57 2028.41
54.7524 -20.5661 | -1.27528 -1.26055 | 6639.78 -2448.98
54.9736 -21.0144 | -0.160995 -2.70457 | -12005.8 -1848.43
55.1802 -21.4674 | 0.896435 1.01941 | 8983.83 5501.7
55.4003 -21.913 | 1.22321 1.81548 | 545.588 -125.887
55.6242 -22.3579 | 0.958116 -0.157489 | -4019.58 -10693.8
55.842 -22.8125 | 0.819042 -0.0151426 | 1877.19 -5705.63
56.0704 -23.2663 | 1.24372 0.49187 | -282.734 11345.1
56.3244 -23.6987 | 0.841878 0.886516 | -1684.38 370.681
56.6075 -24.1102 | 1.70839 -0.19878 | 6548.29 3927.42
56.9249 -24.4955 | 0.789864 -0.057536 | -12709.4 -3641.48
57.2544 -24.865 | -2.07399 3.65285 | 1644.88 4026.34
57.6132 -25.2031 | -2.60296 2.60996 | 3278.5 5059.95
58.0027 -25.5047 | 0.616635 -0.383871 | -5827.22 -10044.2
58.4082 -25.7868 | -0.176656 -0.331215 | 8370.07 723.627
58.8424 -26.0313 | -1.51041 1.09317 | -2366.4 6499.59
59.296 -26.2334 | -2.57963 1.63058 | 3555.95 -12892.6
59.7639 -26.4137 | -3.22398 1.19646 | -475.038 10163
60.2443 -26.5495 | -1.01505 -1.14797 | -3715.12 638.21
60.7287 -26.6569 | -0.167947 1.2673 | -4130.09 -5476.36
61.2129 -26.7535 | -1.26547 2.19479 | 3723.48 1069.83
