-85.5191 -32.2954 | 0.853982 -0.854079 | -103.063 7286.19
-85.0417 -32.1539 | 0.500691 -0.15123 | 4817.72 3255.04
-84.5501 -32.0537 | 0.639825 -0.722778 | 3579.81 -4469.73
-84.0481 -32.0103 | 0.918323 2.17839 | -856.279 -5617.33
-83.5447 -32.0207 | 1.07203 3.78728 | -3485.61 766.079
-83.0448 -32.0602 | 0.543656 1.50152 | -1212.3 7489.94
-82.5469 -32.1073 | 1.5555 2.47526 | 3222.86 -3046.07
-82.0485 -32.1699 | 0.595938 1.56028 | 168.47 -4123.41
-81.5514 -32.2449 | -1.66416 -0.325049 | -3697.64 5424.42
-81.0564 -32.3134 | -1.43405 -0.567421 | -1103.55 -1359.28
-80.5616 -32.3764 | 0.116875 -1.31811 | 1417.71 611.291
-80.0646 -32.4293 | 0.315332 -0.109043 | 3843.11 3755.3
-79.5642 -32.4705 | -1.2834 0.594232 | -2933.18 -7090.23
-79.0652 -32.5147 | -2.3696 -2.75619 | 216.126 -1982.93
-78.5651 -32.5485 | -1.7346 -1.57227 | 2701.84 5349.98
-78.0625 -32.5505 | -1.2738 2.02174 | -3210.72 -3528.66
-77.563 -32.5212 | -1.64985 -0.220166 | -1857.91 2605.1
-77.0695 -32.4479 | -2.4665 -2.33257 | 448.74 3495.21
-76.5845 -32.3298 | -2.94052 -0.907701 | 118.817 -7674.93
-76.1098 -32.1808 | -1.41154 -1.16029 | -3385.87 3224.14
-75.6538 -31.9875 | 1.31901 -2.90548 | -7644.57 5574.72
-75.2198 -31.7547 | 1.91536 -1.61421 | 5504.4 -4152.75
-74.7867 -31.5158 | 1.77175 -1.88469 | 10553.9 -3297.07
-74.3443 -31.2816 | 2.55707 -4.23311 | -492.624 3709.88
-73.9042 -31.0395 | 2.54866 -3.32035 | -2877.34 -772.112
-73.4705 -30.7894 | 1.64125 -2.59799 | 1240.93 -4310.19
-73.0419 -30.5324 | 1.04526 -1.80846 | -899.74 4637.61
-72.6253 -30.2544 | 1.50435 -1.25424 | -46.3699 1131.96
-72.2207 -29.9583 | -0.461073 0.563554 | 555.064 -3919.46
-71.8258 -29.65 | -2.45103 1.18597 | 458.768 10546.4
-71.4411 -29.3205 | -3.12064 1.77627 | 7523.91 1590.51
-71.0523 -28.9883 | -1.09568 2.97158 | -2171.49 -5080.31
-70.6591 -28.6654 | 0.129713 3.52125 | -4145.7 1098.89
-70.2612 -28.3512 | -0.63435 2.85656 | 7071.45 -2223.18
-69.8464 -28.0547 | -1.46535 3.58198 | 1272.1 1669.12
-69.4216 -27.7704 | -0.669451 4.32257 | -8378.87 4841.43
-68.9935 -27.4974 | 1.92313 1.44094 | -426.962 -8550.75
-68.5481 -27.2623 | 2.17678 0.301728 | 2483.29 -3844.68
-68.0841 -27.0682 | 1.3814 1.72807 | -5242.34 792.413
-67.6126 -26.904 | 0.548403 4.58213 | -7474 2297.62
-67.1371 -26.7667 | 0.51117 3.55813 | 6750.09 -890.664
