35.52 -20.0275 | 0.529442 1.61599 | 10459.4 -578.167
36.0178 -19.9878 | -1.94562 0.240736 | 6377.22 4242.99
36.5214 -19.9694 | -1.37373 -4.39067 | -8084.93 4519.11
37.0207 -19.977 | 0.703017 -2.3025 | 1635.6 -9110.84
37.5173 -20.0327 | 1.05555 -0.954659 | -2395.89 3769.6
38.0074 -20.1217 | 0.0564218 -1.2882 | 2642.55 7675.13
38.4915 -20.2422 | -1.349 -1.64936 | 2789.04 -13729.5
38.9606 -20.4227 | -0.0639371 -1.9542 | -4437.13 8678.67
39.4088 -20.64 | 0.243052 -2.22722 | -2180.07 -329.755
39.8326 -20.8978 | -3.26103 -5.97425 | 2209.29 2130.31
40.2313 -21.1928 | -0.564529 -2.1315 | 425.797 2057.65
40.5956 -21.5283 | 2.36353 1.12129 | -2831 -10044.5
40.9143 -21.9116 | 1.8571 1.81619 | 794.178 7851.98
41.1986 -22.3179 | -1.2128 -1.16196 | 863.117 -3765.95
41.4532 -22.7465 | -0.854238 1.08596 | 1594.87 -4784.17
41.6867 -23.191 | 0.0815211 2.37742 | 1313.73 6127.72
41.909 -23.6385 | 1.2047 2.27569 | -646.041 -4494.58
42.1209 -24.0927 | 0.216813 0.327517 | 1134.27 6740.27
42.3285 -24.5453 | -4.11748 -0.970569 | -3289.82 -4621.32
42.5283 -25.0027 | -5.76867 -0.590784 | 2155.97 1509.43
42.7317 -25.4576 | -4.20654 -2.76957 | -10165.7 4669.19
42.9401 -25.9058 | -3.45576 -4.48999 | 14266.6 -13003.6
43.1882 -26.3459 | 0.36351 -3.92943 | 6345.45 7325.23
43.4728 -26.7624 | 2.71895 -2.26336 | -17483.4 -2718.91
43.7644 -27.1665 | -2.12761 -2.53765 | 2523.39 9687.58
44.0886 -27.5381 | -0.411985 -1.76922 | 3157.36 2417.06
44.445 -27.8797 | -2.47245 -0.82549 | 1973.28 -9955
44.8216 -28.2073 | -3.94357 -1.56886 | -71.7265 3495.61
45.214 -28.5134 | -1.15649 -1.20867 | -10238.3 2103.37
45.6126 -28.8022 | -0.325225 1.19033 | 9301.72 -7003.65
46.0314 -29.0741 | -0.681982 0.161798 | 3384.5 5517.32
46.4689 -29.3177 | 1.55041 -1.58474 | -2983.48 -8223.8
46.9148 -29.5474 | 1.01081 -0.401423 | -835.656 2605.2
47.3739 -29.7477 | -0.571055 -2.23746 | 5575.13 5384.16
47.8497 -29.9112 | -1.98143 -5.44778 | 1850.45 -2818.37
48.3331 -30.0559 | -2.12688 -3.82315 | -9835.57 -4201.31
48.8148 -30.1913 | -1.09486 -1.86734 | 10401.3 2820.36
49.3078 -30.305 | 0.72158 -0.88282 | 569.354 -4344.98
49.8052 -30.4013 | 0.807854 -3.34083 | -9188.24 6180.26
50.3004 -30.4677 | 0.718817 1.12961 | -767.946 -468.245
50.7961 -30.5116 | -0.205211 1.88319 | -2933.66 -4258.01
51.2908 -30.5382 | -0.499517 -0.955 | 1872.79 7230.3
51.7856 -30.5355 | -0.19692 -1.5821 | -9428.24 2292.23
52.2726 -30.5216 | -2.03878 -5.78415 | -13641.8 -4394.74
52.7515 -30.5253 | -2.62327 -4.50566 | 20241.8 -2837.03
