-36.7027 -14.7636 | -0.768106 -2.29259 | -321.262 -607.804
-36.2085 -14.8488 | -0.845984 -2.3113 | -118.506 -250.109
-35.7122 -14.9197 | -0.931942 -2.06845 | 95.4951 240.851
-35.2135 -14.9725 | -1.07963 -1.87058 | 193.781 6.45443
-34.7129 -15.0047 | -1.28013 -1.74857 | 295.071 42.381
-34.2111 -15.0142 | -1.50435 -1.67549 | 317.319 274.871
-33.709 -14.9995 | -1.71272 -1.7976 | 268.884 -91.9235
-33.2081 -14.9602 | -1.87262 -2.02317 | 120.188 326.165
-32.7096 -14.8959 | -1.98386 -2.14485 | 7.04542 216.73
-32.2148 -14.8073 | -2.03471 -2.26907 | -15.0093 -114.005
-31.7246 -14.6962 | -2.06495 -2.29712 | -93.3819 41.4289
-31.2397 -14.5638 | -2.1842 -1.9402 | -83.6141 58.0699
-30.7608 -14.4118 | -2.39023 -1.35075 | -90.6454 154.255
-30.288 -14.2417 | -2.76505 -0.352709 | -236.262 537.372
-29.8213 -14.0559 | -3.25311 0.83935 | -259.535 550.395
-29.3592 -13.8588 | -3.68196 1.8042 | -99.2314 103.825
-28.8993 -13.6569 | -3.98492 2.44446 | -100.547 60.4052
-28.4386 -13.4568 | -4.05216 2.53622 | 155.089 -531.489
-27.9741 -13.266 | -3.91988 2.13734 | 178.286 -634.775
-27.5038 -13.09 | -3.72142 1.51272 | 20.9157 -293.783
-27.0273 -12.9322 | -3.53439 0.84225 | 73.9125 -457.632
-26.5443 -12.7951 | -3.39555 0.239719 | -100.454 65.4452
-26.0559 -12.6796 | -3.35005 -0.100551 | -95.2191 -33.2913
-25.5626 -12.5869 | -3.34739 -0.300371 | -50.1056 -200.983
-25.0654 -12.5183 | -3.37581 -0.31115 | -59.9425 -76.8661
-24.5656 -12.4741 | -3.42906 -0.0106754 | -42.3593 -321.757
-24.0643 -12.454 | -3.46839 0.411028 | -53.0224 -92.9791
-23.5626 -12.4565 | -3.48476 1.15208 | -39.9559 127.946
-23.0615 -12.4793 | -3.46341 1.97226 | -59.0651 253.522
-22.5617 -12.5203 | -3.42012 2.68171 | -67.6271 401.682
-22.0636 -12.578 | -3.36507 3.29489 | -63.8519 405.861
-21.5678 -12.6522 | -3.35069 3.47291 | -106.798 164.671
-21.075 -12.7437 | -3.36968 3.45474 | -126.771 102.645
-20.5862 -12.8537 | -3.42984 3.26242 | -158.673 -37.78
-20.1022 -12.9829 | -3.51476 2.99657 | -188.842 -192.328
-19.6241 -13.1318 | -3.54794 2.93653 | -121.035 12.2867
-19.1522 -13.2992 | -3.57876 2.88276 | -179.965 -148.061
-18.687 -13.4839 | -3.57655 2.92395 | -102.211 -14.6393
-18.228 -13.6834 | -3.62026 2.85285 | -80.7945 23.0513
-17.7746 -13.8951 | -3.79134 2.50895 | -168.896 -153.836
-17.3258 -14.1162 | -4.05887 1.99147 | -43.0399 87.238
-16.8799 -14.3429 | -4.47927 1.17592 | -161.901 -112.314
-16.4352 -14.5717 | -4.92438 0.320722 | -110.184 29.6927


