-11.8258 91.7533 | 0.566808 -1.1465 | 2275.34 -2263.19
-11.3416 91.6075 | -1.84148 0.190043 | -19616.7 1887.17
-10.8857 91.4224 | -2.25303 -0.213622 | -4785.74 4291.94
-10.4469 91.2109 | -2.22786 2.87945 | 8849.44 -4130.11
-10.0108 90.9778 | 1.5084 2.91745 | 12068.4 -1389.03
-9.5712 90.7324 | 2.12078 -0.864014 | 1482.29 -1835.97
-9.13721 90.4723 | 2.30556 1.81996 | -3271.97 2256.69
-8.71548 90.1976 | 1.58363 -0.252098 | -2792.47 -328.354
-8.30885 89.9048 | 0.322119 -0.0664916 | -2634.45 -38.4325
-7.91628 89.5965 | 1.60166 -0.52596 | -740.027 1062.53
-7.53176 89.2793 | 3.01883 -1.31225 | 2188.1 -5386.12
-7.14809 88.9572 | 3.30055 0.696003 | -5398.29 9235.85
-6.75951 88.6494 | 1.10104 -0.846664 | 9064.32 -3805.06
-6.35559 88.3516 | -0.53164 -0.203513 | 2177.1 -6734.51
-5.94278 88.0599 | 3.83041 2.96747 | -10451.6 5091.97
-5.52485 87.7884 | 2.13655 0.0336585 | 3330.54 -1520.14
-5.08831 87.5468 | -2.07667 -2.11718 | -3015.86 3721.91
-4.63335 87.3506 | -1.45538 -2.71987 | -4058.47 1219.07
-4.16268 87.2047 | -2.02115 -1.15038 | 7232.36 4653.88
-3.67479 87.1107 | -2.97241 -3.72901 | 1242.1 -4531.06
-3.1804 87.0442 | -0.522676 -3.73655 | -2444.64 -10630.3
-2.68521 86.9957 | -1.52831 -3.70612 | -6240.37 14950.2
-2.19201 86.9978 | -1.21919 -3.31415 | 4436.42 -4904.34
-1.69639 87.0215 | -1.78151 1.74502 | 8343.17 -9062.49
-1.19691 87.057 | -2.69547 -1.23974 | -12192.6 5012.89
-0.708347 87.1303 | -0.705192 -0.674619 | 3794.63 2082.25
-0.225081 87.2427 | -1.06578 0.728978 | 5429.55 -1779.29
0.252631 87.3871 | 0.216673 -1.18071 | -7354.4 1946.42
0.71476 87.5649 | 0.455502 -0.103705 | 133.795 -2961.69
1.16724 87.7636 | 1.11394 -1.84528 | 3069.11 -52.3147
1.61333 87.9804 | 2.19416 0.8186 | -1107.65 4930.63
2.05127 88.2149 | 0.0862434 2.40124 | -579.481 -7124.8
2.48754 88.4477 | -0.856526 0.481867 | 918.759 817.854
2.9233 88.6838 | -0.75546 -1.12571 | 6168.14 1581.84
3.36001 88.9269 | -1.6125 -4.20694 | -4289.59 1242.35
3.78921 89.182 | -1.07679 -4.65221 | 1946.68 11761.8
4.21839 89.4487 | 0.221987 -2.8259 | 12730.2 -9741.57
4.66697 89.6913 | 2.34417 -4.63266 | -3969.57 2872.26
5.1201 89.9213 | 4.01945 -4.00158 | -10713.2 820.903
5.57256 90.1348 | 2.59617 -1.15231 | -6237.67 -13844.2
6.03272 90.311 | 2.18879 -2.24913 | 7293.92 13479.4
6.5054 90.4729 | 1.00746 0.636237 | 5451.79 -5637.4
6.9918 90.5994 | 0.200479 1.58332 | -6638.07 -2646.67
7.48154 90.6962 | 2.67312 -0.221868 | 6547.95 8283.43
7.97873 90.7766 | 2.10608 1.75615 | -1826.68 -6706.92
8.47854 90.8247 | 0.193952 2.11494 | -3530.73 2160.72
8.97702 90.8506 | 1.33769 1.14368 | -3395.86 8371.24
9.47324 90.8558 | 2.05993 3.47413 | -1650.73 -6074.67
9.96609 90.8089 | 1.03298 2.4024 | 4463.77 -7445.88
10.4538 90.7051 | 0.284851 1.43579 | -4317.35 2905.58
10.9327 90.5697 | 1.02273 -0.492917 | 12879.7 -1016
11.4161 90.4173 | 3.40588 -2.89927 | 8333.85 2523.73
11.9017 90.2556 | 3.37014 -0.439154 | -12286.7 3236.91
12.3735 90.0771 | 1.20972 -2.3429 | 1275.3 -6361.59
12.8349 89.8711 | 0.390455 -2.94573 | -1821.34 2842.32
13.2876 89.6498 | 0.320936 -1.20947 | 3697.93 1780.91
13.736 89.4159 | 0.94962 -1.73132 | 2955.06 -5808.17
14.176 89.1612 | 1.08782 -1.55872 | -9189.49 3855.04
14.6011 88.8951 | 3.2911 0.634446 | -3334.04 3628.76
15.0178 88.6246 | 4.25645 4.18598 | 102.589 5132.21
15.4304 88.3525 | -0.86565 0.258725 | -98.1177 -5211.26
15.8349 88.0661 | 0.13786 1.29999 | -5189.27 -5922.06
16.2322 87.7712 | 0.188163 3.07053 | -73.0883 11735.7
16.6415 87.4992 | -2.06651 1.1938 | 10539.2 -794.867
17.0689 87.2422 | -0.149371 0.0711541 | 5017.26 -16965.7
17.5037 86.9788 | 0.226235 -0.224048 | 12.2235 4965.26
17.9483 86.7344 | 0.098841 -0.837763 | -7423.69 4688.28
