-4.55983 -64.2865 | -0.701344 2.79964 | 10446.6 8826.25
-4.07031 -64.1489 | -2.09807 3.77362 | 1626.6 -1870.06
-3.56883 -64.0564 | -1.18124 5.84737 | -5645.38 -2564.08
-3.06291 -64.0251 | -0.606235 5.03944 | 11035.5 -8748.38
-2.5503 -64.0654 | -0.291394 2.01826 | 4040.15 -711.116
-2.04251 -64.1582 | -1.05909 3.54887 | -19595.4 8121.07
-1.55749 -64.2867 | -0.890651 6.72207 | -5571.71 -2693.74
-1.09048 -64.4565 | 0.878521 5.21743 | 8388.42 474.122
-0.63205 -64.6567 | 1.02735 1.19201 | -8659.78 5049.76
-0.192749 -64.883 | 0.415602 3.06489 | 430.268 -2630.76
0.230665 -65.1405 | -0.356117 2.28564 | 7217.54 -8068.57
0.645858 -65.4252 | 1.03323 1.25657 | 4835.66 326.523
1.059 -65.7186 | 0.232534 -2.14649 | -4098.12 3527.24
1.46759 -66.0111 | -0.258776 -2.07526 | -8984.42 4516.1
1.87152 -66.2978 | 0.0446332 2.06569 | 5198.87 1422.11
2.28305 -66.5753 | -0.923829 1.14545 | -4783.06 -5685.42
2.69682 -66.8488 | -1.28505 -1.45976 | 1284.05 6857.9
3.12449 -67.0997 | -1.7795 -1.34853 | 14492.7 -3347.23
3.57108 -67.337 | -0.664266 -0.836711 | -1895.1 -8647.86
4.01934 -67.5762 | 0.996294 -1.14261 | -7722.11 2589.21
4.46813 -67.8044 | -0.171699 -4.66755 | 4255.23 143.444
4.92937 -68.0099 | -0.893057 -3.97323 | -1651.68 1439.81
5.40191 -68.183 | -1.54371 -2.33896 | -4386.33 -927.322
5.88382 -68.3166 | -1.69804 -3.97304 | 17.1387 3788.79
6.3771 -68.3959 | -1.56257 -0.619393 | 6728.69 3713.11
6.8807 -68.4212 | -1.53161 2.94141 | 1125.36 -3246.15
7.38651 -68.4098 | -1.00606 1.35148 | -1817.96 3442.66
7.89034 -68.3659 | -0.768361 -2.73158 | 5907.67 -2273.92
8.396 -68.3065 | -3.01347 -0.674835 | -1756.92 -4311.36
8.89862 -68.2375 | -4.207 0.166008 | -7788.05 -1738.76
9.39279 -68.1491 | -4.15016 -4.85025 | 4085.7 999.936
9.88203 -68.0275 | -2.59537 -4.83526 | 1016.28 11182.2
10.3607 -67.8607 | -1.23806 1.00567 | -2088.98 -3818.09
10.8303 -67.6764 | 0.512756 1.75461 | -3043.27 -9430.88
11.2931 -67.4899 | -0.515143 1.04145 | -6001.47 472.579
11.7436 -67.2864 | -1.42299 0.1917 | -530.431 1027.14
12.1828 -67.0612 | -0.461183 -2.52414 | 157.153 2477.57
12.6126 -66.8156 | -3.28701 -0.292904 | 3615.79 3829.87
13.04 -66.5587 | -4.08554 2.2815 | 96.292 -3639.46
13.4703 -66.3081 | 0.495515 0.987004 | -1513.74 1998.45
13.9059 -66.0674 | 3.17528 -1.47762 | 185.917 2078.13
14.3527 -65.8495 | 0.535941 -1.31121 | -6384.7 -7288.18
14.8124 -65.6758 | -0.956706 -2.60037 | 2095.76 3982.3
15.2887 -65.5459 | -1.55049 -2.40673 | 10809.7 -401.754
15.7836 -65.4701 | -1.84491 0.266618 | -5312.82 -4381.44
16.2814 -65.4491 | -3.26351 -0.717785 | -1079.87 6722.73
16.7785 -65.4653 | -3.92801 -2.28032 | 1559.74 -5715.19
17.2729 -65.5267 | -2.5377 1.11292 | -4401.12 614.865
17.7599 -65.6168 | -1.78065 2.23615 | -94.202 3127.79
18.2439 -65.7186 | -0.902732 -0.00624035 | 3302.62 6695.68
18.729 -65.8271 | -2.29929 0.160477 | 9713.63 -2468.46
19.2142 -65.9653 | -3.37294 2.76279 | 1443.39 -8562.34
19.6856 -66.1525 | -0.492558 2.08231 | -9382.31 5551.96
20.133 -66.3776 | -0.506827 2.41337 | -1441.38 -7912.54
20.5603 -66.6417 | -3.57978 0.252071 | 8772.44 430.275
20.9847 -66.9189 | -1.89596 -1.11333 | -3728.67 4248.67
21.4056 -67.1958 | -0.0352332 -1.28597 | -1472.41 2052.24
21.8274 -67.4688 | -0.372751 -3.42408 | 9269.32 322.922
22.2564 -67.7399 | 0.69496 -2.25584 | -2657.08 -3547.69
22.6781 -68.022 | 1.27046 0.747953 | -8037.98 -2007.13
23.0875 -68.3138 | -0.989438 -2.60469 | -2131.36 10010
23.4968 -68.5957 | -3.12144 -3.59236 | 2244.89 -4585.57


-20.432 86.1543 | 3.78582 -3.42515 | 7947.92 -2677.71
-19.9622 86.3432 | 4.73937 -5.30287 | -341.411 6476.48
-19.5149 86.5821 | 2.81786 -3.43437 | -7495.45 1874.79
-19.0985 86.8643 | 0.325554 -0.598944 | -2197.15 -9396.67
-18.7042 87.169 | -1.9298 -0.609087 | 4831.72 4122.07
-18.3285 87.503 | -0.662786 -3.3913 | 1532.4 9069.19
-17.9737 87.8679 | -1.4253 -1.58466 | 4054.24 1252.35
-17.6298 88.2479 | -3.95489 0.533857 | 1442.71 -1489.07
-17.2936 88.6341 | -2.03571 0.0985692 | -9349.55 -2512.97
-16.9692 89.0226 | -0.850913 0.226105 | 562.885 -4537.91
-16.6389 89.402 | -1.47764 0.322098 | 1848.81 254.066
-16.2953 89.7696 | -0.987581 -1.29972 | -1803.4 -2143.91
-15.9378 90.1214 | 0.832508 -4.57229 | 2068.93 1837.08
-15.5634 90.4571 | 0.280263 -3.03299 | 538.438 -2940.08
-15.1736 90.772 | -2.29911 0.40927 | -9032.01 -4238.55
-14.7781 91.0684 | 1.41306 -1.34182 | -52.0633 1190.59
-14.3723 91.3496 | 0.800992 0.464625 | 2518.23 -929.377
-13.9536 91.6137 | -3.27586 0.573556 | -3008.25 6645.38
-13.5258 91.8663 | -1.74411 -3.94776 | 8298.61 -211.291
-13.0756 92.0905 | -0.213889 -3.5765 | 8105.53 575.69
-12.6034 92.2812 | 0.0492515 -0.170419 | 635.063 3820
-12.1184 92.4405 | 0.483533 1.13099 | -6958.12 -7008.76
-11.6276 92.5562 | -1.77002 0.234309 | -5258.11 -538.948
-11.1342 92.6358 | -1.56148 -3.41561 | -1147.52 4958.68
-10.6374 92.6855 | -0.837609 -1.96343 | 6142.06 -4560.2
-10.1337 92.6918 | -1.23646 0.287356 | 4353.52 34.2379
-9.62695 92.6601 | -1.03413 -0.27846 | 2602.23 2774.72
-9.12139 92.5946 | -1.33518 -4.09688 | -1805.86 -6482.96
-8.6241 92.4864 | 1.07533 -0.960994 | -4231.65 6552.13
-8.13811 92.351 | 3.45377 1.28428 | -1024.53 2512.43
-7.66615 92.1807 | 0.170263 -1.35039 | -3861.51 -4716.83
-7.21809 91.9608 | 0.183267 0.935291 | -6112.19 3152.32
-6.79771 91.7001 | -1.9775 1.33605 | 2428.5 -4253.85
-6.39785 91.4038 | -4.45589 -0.0428207 | 4928.48 99.025
-6.00906 91.0877 | -2.08902 -1.75389 | 21.6448 -1080.36
-5.62988 90.7586 | -0.53733 -3.92925 | -1365.99 -1611.19
-5.2556 90.4245 | -0.73893 -4.96186 | -3249.4 6544.29
-4.87749 90.1011 | -2.05042 -4.00347 | 3669.14 -5021.62
-4.48657 89.7887 | 0.544195 0.212061 | -1908.35 4284.05
-4.08056 89.5007 | 1.0206 0.653286 | -1883.86 4203.31
-3.65902 89.2396 | 0.733221 2.36926 | 5297.97 -8646.21
-3.2209 88.9947 | 1.74449 4.60889 | 1542.56 -1093.54
-2.7658 88.7772 | 0.497037 -0.330809 | 4888.82 4464.65
-2.29212 88.5991 | 1.1006 2.03628 | -3156.84 1653.74
-1.81167 88.4527 | 1.53263 1.99964 | -16249.1 -3439.63
-1.3366 88.3273 | 1.72706 -1.47357 | -2171.18 540.137
-0.856819 88.2374 | 1.30404 0.774549 | 3138.95 5835.08
-0.368755 88.1955 | -1.414 0.733162 | 5421.87 -4803.73
0.12504 88.1852 | -3.31411 -1.69485 | -1787.86 -282.25
0.617642 88.2054 | -2.74366 -0.800724 | -5089.67 -3451.33
1.10607 88.2532 | -1.27289 0.531565 | 13402.3 -329.478
1.59854 88.3372 | 0.428054 1.22034 | 2296.39 5510.36
2.08355 88.4699 | 0.62489 0.25151 | -2975.76 -2617.41
2.55312 88.6436 | -1.13732 0.513847 | -2965.19 3263.31
3.00362 88.8579 | -2.13275 1.3384 | -3346.59 -3249.51
3.43822 89.0967 | -0.623744 1.54681 | 1610.59 300.688
3.86454 89.351 | -2.19643 3.98886 | -1473.33 -956.353
4.28684 89.6115 | -3.82719 4.02432 | 5760.29 2108.65
4.71535 89.8726 | -1.39099 1.71179 | 11827 5157.81
5.15637 90.1317 | 1.02141 -0.248462 | 807.587 -1059.34
5.60235 90.3847 | 1.38916 -0.756674 | -5830.2 2942.67
6.04711 90.6334 | -0.429958 3.3905 | -5030.36 -5476.28
6.49654 90.8614 | -0.376506 3.15025 | 489.582 -5320.12
6.95661 91.0626 | -0.725068 4.88041 | 2761.69 4025.64
7.42476 91.2484 | -2.97864 6.78401 | -8817.82 -3789.78
7.89297 91.4163 | -3.10044 2.53606 | 244.097 2153.93
8.36525 91.571 | -1.2388 0.298192 | 261.23 -516.867
8.84258 91.708 | -2.15578 0.580816 | -5291.38 2767.82
9.32304 91.8257 | -3.25364 -0.401947 | 10318.8 2190.43
9.81697 91.9097 | -2.26614 0.726359 | -3119.47 -7202.24
10.3159 91.9427 | -1.29145 -0.302407 | 4459.72 5504.68
10.819 91.9367 | -1.10431 -1.73819 | 2912.12 181.09
11.3206 91.8823 | -2.20446 -1.30483 | -9101.24 -6223.06
11.8073 91.7691 | -3.58459 -3.35927 | 3176.24 655.627
12.2835 91.615 | -1.09214 -0.419783 | -2072.2 11079.2
12.7463 91.4345 | -0.730909 1.47643 | -3316.72 -6993.98
13.1865 91.2045 | -1.37893 -1.14611 | 3478.89 -10473.2
13.6081 90.9315 | -0.0317322 2.10388 | 1761.24 10253.2
14.0238 90.6523 | 0.583976 3.45441 | 5177.53 1942.91
14.436 90.3651 | -1.29684 -2.06881 | -4540.74 -3027.99
14.8318 90.0576 | -0.210867 0.220158 | -4485.48 -1396.63
15.2119 89.7329 | 2.77032 2.51469 | 7583.75 -1855.43
15.5914 89.4025 | -0.324365 -1.37488 | -7112.64 5134.16
15.9662 89.0763 | -1.3967 -1.76741 | -1922.28 10548.5
16.3418 88.7606 | -0.0894644 -3.66816 | -533.919 -5349.75
16.7118 88.4354 | -3.17457 -4.47551 | 2947.19 -7425.54
17.0785 88.0974 | -1.74731 -0.901667 | 2558.98 -6898.39
17.4508 87.7571 | 1.17985 2.62772 | 1555.72 -254.414
17.8438 87.4378 | 1.12084 4.03282 | 11279.7 6703.48
18.2713 87.1604 | 3.13863 3.49989 | -4366.39 1171.01
18.7136 86.9143 | 0.370436 1.51589 | -13299.6 -168.11
19.1585 86.6913 | -1.80143 1.90786 | -929.87 2438.17
19.6154 86.5006 | 0.327575 1.84415 | 3258.95 -1777.65
20.0878 86.3447 | 0.0822693 4.59962 | 1886.16 -4348.2
20.5729 86.229 | -1.7921 3.45805 | -7222.53 2979.15
21.0631 86.1736 | -1.83846 0.274239 | -410.247 6824.32
