-16.8161 30.6412 | 1.28272 -5.76309 | -8168.81 -14092.4
-16.4495 30.9836 | 1.46829 -1.93019 | -3569.73 -1433.22
-16.0794 31.3166 | 3.08654 -2.59131 | 209.007 3302.45
-15.706 31.648 | 4.00303 -4.20466 | -2586.39 11164.5
-15.3253 31.9763 | -2.25104 -1.76416 | 4535.89 -7174.89
-14.9149 32.2633 | -2.26213 -2.19346 | -7676.09 -10481.8
-14.4786 32.4937 | -1.307 1.69082 | 4850.39 4332.25
-14.0171 32.6796 | -0.50386 4.19442 | 7974.23 2709.06
-13.5353 32.825 | -1.04415 3.25404 | -9259.32 988.782
-13.0488 32.9319 | -2.22488 2.42043 | -1217.39 -4970.08
-12.5568 32.994 | 0.17851 0.375683 | -213.403 -1633.41
-12.0617 33.0252 | 2.0884 2.23684 | 4696.55 9133.58
-11.5628 33.0474 | -0.866927 -0.695181 | -140.561 -4135.31
-11.0635 33.0475 | -2.5343 0.51897 | -6549.1 3251.24
-10.5678 33.03 | -1.92124 0.481445 | 9540.45 -465.379
-10.0672 32.9872 | 0.689945 -0.990778 | 3841.91 -3415.97
-9.56669 32.9123 | 2.36072 0.103996 | -1361.19 340.119
-9.07193 32.8101 | 1.0303 0.986809 | -2832.67 2089.5
-8.58625 32.6847 | 0.542929 2.19217 | -9925.96 6295.06
-8.11546 32.5351 | 1.87371 3.2018 | 5667.78 -6112.76
-7.65542 32.3444 | 2.52638 4.8081 | 3203.54 -5384.86
-7.20924 32.1159 | -0.557485 3.52516 | -5851.68 9307.8
-6.77936 31.8694 | -3.23757 0.480655 | 1255.99 -2402.43
-6.36382 31.5983 | -2.57688 0.450681 | -1484.1 -2019.88
-5.96273 31.3051 | -1.37815 -1.43382 | 5811.4 -681.616
-5.56712 30.9994 | 0.571724 0.779853 | -4025.79 1903.03
-5.18051 30.6855 | -0.172089 1.86278 | -1293.71 -5960.29
-4.79629 30.365 | -2.92053 -1.30951 | 7993.23 -2513.33
-4.39563 30.0576 | 0.366761 0.381456 | -2777.08 10766.3
-3.97817 29.7823 | 3.60614 0.979192 | 6.70625 720.292
-3.54878 29.5269 | 0.481815 0.24907 | 1220.98 -8734.76
-3.11318 29.2767 | -2.02957 0.455853 | -4975.86 6054.37
-2.67264 29.0459 | 1.37403 0.369635 | -5079.68 -92.5174
-2.22688 28.8334 | 2.71732 1.95814 | 3255.79 333.732
-1.76863 28.6443 | 3.0345 4.19655 | 4532.08 -3959.02
-1.29776 28.4785 | -1.0391 -0.0178691 | -3418.41 3834.27
-0.820301 28.3454 | -0.698612 -0.178051 | -10756.6 186.295
-0.342935 28.2415 | 1.09775 1.29553 | 3588.66 -3681.69
0.14279 28.1671 | -0.448783 -2.27159 | 10548.1 4174
0.640741 28.1335 | 2.54871 -1.19175 | 2281.92 222.372
1.14301 28.1294 | 3.84437 1.26331 | 3062.06 -8170.31
1.64719 28.1412 | 0.430153 2.67327 | -4139.27 1694.7
2.14646 28.1874 | 0.538884 3.37303 | -3158.66 8818.22
2.63716 28.2787 | 1.07646 2.31616 | -2769.48 -4990.78
3.1205 28.3893 | -0.25922 2.06106 | -3782.56 -6941.77
3.59791 28.5097 | 0.17168 -3.14758 | 2398.76 9402.76
4.0725 28.6548 | -0.771934 2.20991 | 12163.9 -3283.05
4.5534 28.8046 | 0.069818 3.04896 | -3854.27 -3557.46
5.03025 28.9613 | -2.58185 2.27818 | -1368.5 11965.2
5.50107 29.1384 | -4.69977 5.40419 | 2619.42 -17111.5
5.97371 29.3038 | -3.11433 4.08872 | -4263.71 8582.13
6.43721 29.4904 | -4.37558 -0.211731 | -922.075 6995.04
6.89404 29.6955 | -3.21722 -1.35539 | 944.442 -5112.44
7.35448 29.8907 | -5.26556 -0.491258 | -3572.93 3858.71
7.82152 30.0663 | -4.10494 -2.25408 | 8184.81 -7930.56
8.30656 30.1956 | -0.74715 -1.94304 | -3585.14 -703.535
8.79833 30.2868 | 0.277368 -0.709819 | -1816.2 7627.26
9.29341 30.3503 | 2.46572 2.27677 | -2318.17 -8643.03
9.79056 30.3658 | 0.55836 0.484945 | 2969.59 1275.94
10.2902 30.348 | -2.12618 -1.06969 | 6269.97 6364.89
10.7928 30.3072 | 1.36833 1.08308 | -2077.6 -8327.39
11.2901 30.2277 | 1.50731 5.25652 | -1226.53 9359
11.7801 30.1277 | 0.562704 4.39153 | -12019.6 89.4608
12.2517 29.9911 | 1.52117 2.82842 | -6097.95 -3899.62
12.7053 29.8131 | 0.888808 3.22345 | 8951.39 5934.08
13.1542 29.6122 | 0.911553 -0.622686 | 8205.97 -2515.34
13.5943 29.3777 | 1.16053 -2.47977 | 1878 -7314.99
14.0128 29.0994 | 1.06283 -2.84609 | -5296.1 2737.8
14.403 28.7898 | 0.300613 -2.89853 | -5859.44 10892.3
14.7671 28.461 | -0.417941 1.32916 | 916.651 -11716.7
15.1089 28.1018 | -3.30623 1.18356 | 10135.4 2475.13
15.4461 27.7335 | -0.545739 3.06208 | -7327.64 4685.08
15.767 27.3574 | 3.62727 6.00945 | -2885.34 -1979.93
16.0763 26.9712 | 1.0982 1.69557 | 15139.8 -3374.06
16.3922 26.5796 | -0.071233 1.37631 | -9268.53 -9886.82
16.6932 26.1749 | 0.971557 -0.357327 | -1347.65 15505
16.9979 25.784 | -2.49886 -2.11333 | -5116.61 -1330.43
17.3086 25.4004 | -3.78904 0.351764 | 9607.73 -6300.83
17.6425 25.0288 | -1.11735 -2.11626 | -3867.86 9324.52
17.9928 24.6811 | -0.150784 -2.85871 | -8548.37 2080.75
18.3498 24.3487 | 2.77885 -0.280348 | 4193.53 -2141.41
18.7215 24.0288 | -0.124593 -4.20317 | -732.368 -4225.81
