-5.84774 90.2131 | 1.558 1.26789 | 3528.44 -4996.67
-5.4396 89.9151 | -0.109983 -0.846586 | 2980.26 -1020.88
-5.04467 89.5961 | 1.50516 -0.727694 | -5062.07 4064.78
-4.66011 89.2715 | 4.1725 0.0489088 | -1933.11 3234.65
-4.27604 88.9505 | 4.38366 0.0869565 | 5329.21 -173.344
-3.88318 88.6368 | 2.23043 0.0546836 | -3676.65 -1534.08
-3.48683 88.3292 | 0.77733 -0.395292 | 311.37 1332.95
-3.08097 88.0354 | 0.998322 -2.34041 | -751.458 142.42
-2.66341 87.7598 | 1.18445 -2.41623 | -3571.13 -3035.69
-2.23175 87.5081 | 3.33554 0.927107 | 8773.42 3717.68
-1.7729 87.3002 | 4.94469 0.532239 | 1843.7 3233.12
-1.29576 87.1348 | 4.60399 -0.178849 | -1437.64 -31.1331
-0.811014 86.9961 | 5.35312 1.81084 | -2877.51 -4884.63
-0.32475 86.8691 | 3.95861 2.39824 | -5120.53 -3909.42
0.162838 86.7593 | 1.85226 0.59303 | 3322.4 3475.36
0.659045 86.6911 | 0.293874 -4.45708 | 450.759 3044.66
1.15961 86.6737 | -0.803547 -3.93947 | -3367.12 -618.775
1.65789 86.7038 | -0.967302 1.16678 | 4257.84 -531.512
2.15433 86.7794 | -0.268499 0.987413 | 4658.94 -1276.79
2.64437 86.9017 | 0.611801 -2.61638 | -4355.59 6228.66
3.11537 87.0789 | 2.17567 -4.0039 | -4100.54 -5861.97
3.56554 87.2927 | 3.56775 -5.06191 | -4697.93 -1351.88
3.99336 87.5406 | 2.10482 -1.5186 | 436.311 1855.36
4.40371 87.8174 | -0.136576 -0.0793757 | 2011.55 -1454.14
4.80358 88.1106 | -0.98431 -2.24212 | 1117.69 1778.6
5.19637 88.4155 | 0.0071764 -0.545893 | 1083.23 -3516.1
5.58623 88.7229 | 0.413816 2.49001 | -1315.56 1054.3
5.97125 89.0362 | 1.53054 3.54058 | -2238.31 5296.65
6.35438 89.3533 | -0.216191 4.69532 | 5308.62 -7422.26
6.75098 89.6538 | -2.0277 3.37979 | 2215.33 3042.2
7.15561 89.9477 | -1.46125 3.02935 | -4072.53 4102.51
7.56166 90.2385 | -0.616386 4.01134 | -625.312 -6380.78
7.97622 90.5116 | 0.402452 3.76745 | -1945.27 2951.46
8.39865 90.7718 | 0.581844 1.62259 | 4375.18 -4109.5
8.83428 91.0115 | -0.210713 -0.518089 | -2847.46 3847.32
9.27411 91.2423 | 0.476717 -0.20858 | -3904.24 4224.64
9.71906 91.4608 | -0.0602421 -0.738648 | 2132.38 -4351.15
10.1802 91.6446 | -0.29853 -4.40801 | 6334.17 3498.46
10.6603 91.7904 | 0.329706 -5.56252 | 5628.39 -2049.52
11.156 91.8885 | -0.72738 -0.421579 | -5533.47 2.48404
11.654 91.941 | 0.00253187 -0.621957 | -11171.3 4088.41
12.1458 91.9478 | -0.0881572 -2.93722 | -5712.3 -7296.83
12.6306 91.8929 | -1.9781 -0.178697 | 7856.1 -134.137
13.1144 91.7952 | -3.51207 0.0054465 | 7280.86 5165.44
13.5984 91.6736 | -3.92183 -2.02208 | 2052.64 -1896.12
14.0769 91.523 | -0.62016 1.20021 | 1926.37 2131.41
14.5463 91.3439 | 0.179138 2.00076 | -3770.88 -1744.34
14.9971 91.1282 | -1.60409 -1.81262 | -5723.54 896.339
15.4257 90.8793 | -0.966052 -3.75103 | 1156.51 3348.79
15.8376 90.6058 | -1.25792 -2.37302 | -388.149 -3551.62
16.2319 90.3059 | -1.42674 -0.873225 | 110.021 1430.01
16.6131 89.9909 | -0.486137 0.228273 | -1434.03 5579.32
16.9849 89.6698 | -0.903897 -0.0304271 | -6.01336 -1018.99
17.3482 89.3384 | 0.677959 0.232385 | 1380.84 -5156.2
17.7059 88.9961 | 0.676113 0.475171 | 2964.45 1308.16
18.066 88.6539 | 1.90349 0.706866 | -359.549 -2607.06
18.4296 88.3132 | 2.22471 -0.0727087 | 43.0116 -2421.26
18.8033 87.9816 | 1.35976 0.409292 | 2075.63 1983.68
19.1968 87.6729 | 0.931112 0.485567 | 2540.87 2707.93
19.6118 87.3925 | 0.89714 1.58864 | 3809.9 2406.43
20.0424 87.1328 | 1.5371 3.4821 | -1915.94 -9144.19
20.4746 86.872 | 2.11151 3.69349 | -3224.37 -1544.78
20.9102 86.6195 | 1.65173 3.6366 | -1345.58 4974.74
21.3574 86.3941 | 2.79205 2.302 | 4.11623 1611.86
