39.1589 -18.4339 | 0.800221 1.93488 | -5011.41 -1407.96
39.5883 -18.1883 | -0.894655 1.19863 | -759.177 -44.1319
40.0361 -17.979 | -0.494665 -0.374444 | 10973.1 -476.975
40.5082 -17.8139 | 0.0668737 2.9885 | -8417.85 -3203.41
40.9869 -17.6887 | 1.71025 0.843555 | -6868.42 4100
41.4681 -17.5903 | 1.75709 -1.25669 | 8612.95 2641.73
41.9607 -17.5236 | 1.81531 0.126502 | 4468.05 -2124.4
42.4617 -17.4988 | 3.3851 -1.94676 | 5033.5 -2630.99
42.9666 -17.5148 | 4.35317 -2.51945 | -5072.88 1678.91
43.4667 -17.5595 | 3.78197 -1.26233 | -2700.77 3738.3
43.962 -17.6266 | 2.03494 -2.55087 | 4222.13 575.078
44.4545 -17.7237 | 0.909507 -3.90925 | -1359.37 -1697.59
44.9371 -17.8615 | 1.62927 -2.63996 | -30.8941 -4215.64
45.406 -18.0434 | 2.79858 -1.11458 | 1132.82 275.369
45.8629 -18.2576 | 2.15476 -0.477768 | 4323.6 -1665.13
46.3114 -18.4971 | -0.00898628 -2.67497 | 6647.15 360.188
46.7528 -18.7565 | -0.589348 -4.34751 | -9791.29 -2348.57
47.1733 -19.039 | -0.0830565 -4.2731 | -6500.73 5973.2
47.5796 -19.3288 | -1.26029 -4.68104 | -255.431 11167.9
47.9804 -19.617 | -0.76979 -0.986499 | -1005.41 -9127.33
48.3678 -19.9276 | 0.013174 1.19452 | 2771.22 -5839.21
48.748 -20.2536 | -0.628807 -0.1379 | 2848.4 8219.99
49.1295 -20.5761 | 0.188191 0.254245 | 1301.17 -1763.53
49.5061 -20.9058 | 1.67993 0.421592 | -5579.06 -4034.74
49.8693 -21.2493 | 0.911865 -0.878107 | -708.191 -1713.85
50.2316 -21.5956 | 0.833735 0.431733 | 11383.3 3892.67
50.6107 -21.93 | -0.241225 0.778092 | -3196.48 -6133.02
50.9925 -22.2646 | -2.32284 -0.987135 | 1109.04 -3287.22
51.382 -22.5936 | -1.694 -2.02422 | 2158.07 5134.15
51.7856 -22.903 | -1.52955 -1.17375 | -6154.74 110.451
52.1971 -23.1947 | -3.16834 1.14329 | -512.688 4241.68
52.6221 -23.4614 | -5.50034 -0.881164 | -3795.82 -1320.51
53.0584 -23.706 | -5.43917 -2.00059 | 5233.74 -3802.1
53.5139 -23.9228 | -3.58508 1.63188 | 3454.95 5183.99
53.9887 -24.0978 | -2.58474 4.2918 | -548.544 -3186.03
54.4756 -24.2396 | -2.26086 2.90192 | 3721.22 76.0986
54.9741 -24.3443 | -1.42347 2.15363 | -1381.27 3629.46
55.4786 -24.4092 | -0.701957 -0.464167 | 982.81 931.047
55.9861 -24.4437 | -0.382013 -0.724615 | -2502.24 -544.12
56.4919 -24.4597 | 0.0860838 1.37975 | -7232.81 -1682.91
56.9925 -24.4663 | 0.924105 0.529969 | -22.3722 -3478.78
57.4917 -24.4655 | 0.868624 -1.07889 | -4681.47 2292.19
57.9872 -24.4454 | -0.38557 -0.658098 | -364.656 5247.07
