14.7167 91.7125 | -0.775808 1.68188 | 1357.25 -953.384
15.2079 91.582 | -0.346226 1.51949 | 1150.03 -2509.32
15.6899 91.417 | 1.65098 0.0212083 | -1015.66 575.591
16.1575 91.2179 | 2.14862 -2.81312 | -6459.96 -6554.85
16.605 90.9826 | 1.82546 -4.55248 | -2647.25 2890.87
17.0433 90.7369 | 3.14246 -2.60853 | 1478.53 9849.42
17.4838 90.5007 | 2.97535 -1.41449 | -1181 -4734.65
17.9221 90.2595 | 1.45119 -0.975856 | 1178.75 -675.375
18.3607 90.0166 | -0.1688 -2.88482 | 1633.54 117.566
18.8015 89.7756 | 1.21675 -1.8941 | -3203.01 -1236.11
19.2425 89.5382 | 2.51841 0.115273 | 780.511 2201.4
19.6892 89.3131 | 1.06936 -0.030359 | -1672.71 -2010.14
20.1415 89.1017 | -0.128881 1.14457 | -3327.69 3201.4
20.6012 88.9148 | -0.419805 4.60449 | 3063.11 2508.07
21.0717 88.7544 | -2.11147 5.64545 | -1957.6 -4850.59
21.5475 88.6105 | -2.63502 3.04505 | 380.52 2551.58
22.0301 88.4913 | -2.00255 2.84959 | 2750.32 2846.07
