31.6104 -17.5062 | 1.44097 -1.55138 | 3360.2 923.807
32.0565 -17.2753 | 2.50661 -0.852952 | -2633.71 -5019.86
32.4888 -17.0281 | 0.11878 -0.681188 | -11989.7 4319.69
32.8988 -16.7566 | -0.065603 0.522273 | 3597.01 -7384.91
33.3061 -16.4843 | -0.341472 -0.080364 | -1046.1 1256.66
33.7106 -16.2084 | 1.32199 -0.613499 | -2030.63 1353.35
34.1154 -15.9326 | 2.88314 0.961413 | 7915 426.793
34.5321 -15.6657 | 0.265626 0.987729 | -42.2237 7650.32
34.9571 -15.4063 | -0.610451 1.70315 | 267.583 -8225.93
35.3966 -15.1769 | 0.940111 0.34064 | -3481.28 4056.37
35.8462 -14.9711 | -1.20887 2.35178 | 1229.73 -2130.62
36.3103 -14.7997 | -1.99549 4.46419 | 3567.93 -2764.14
36.7878 -14.6632 | -1.94146 -0.440755 | -4777.74 10270.8
37.27 -14.5468 | -0.517973 -1.72314 | 5086.56 -4350.67
37.764 -14.4763 | 0.398777 -1.79337 | 4888.41 -5641.54
38.2658 -14.4572 | -0.916952 -3.37492 | -4355.08 4200.61
38.7652 -14.4701 | 1.1376 -0.123264 | -3160.37 5061.16
39.2604 -14.5113 | 1.31374 -0.629268 | 2029.17 1309.56
39.7508 -14.5962 | 0.595428 -1.41407 | 1617.17 -7339.45
40.2287 -14.7435 | 0.733103 -1.45352 | -979.686 -3260.9
40.6884 -14.9432 | 0.161837 -0.118465 | 3157.69 5590.07
41.135 -15.1737 | 1.22616 1.56 | 6908.7 102.8
41.5673 -15.4386 | -1.26607 2.56751 | 502.128 -7196.43
41.9703 -15.7507 | -2.26569 4.31074 | -7877.11 2301.58
42.3343 -16.1011 | 1.18541 2.10008 | 354.165 748.456
42.667 -16.4815 | 0.267181 0.565857 | 3261.22 -7270.32
42.9749 -16.8887 | 1.33002 1.42502 | -1752.26 364.725
43.264 -17.3086 | 2.19947 -0.452945 | 638.787 8345.85
43.5456 -17.7279 | 0.912419 -0.680627 | -3234.94 -724.634
43.8176 -18.1515 | 0.787486 -1.44246 | 754.359 667.866
44.0873 -18.5763 | -0.75385 -2.26599 | 1365.2 -1393.16
44.3584 -19.0009 | 0.215863 -0.753716 | -4406.13 2270.08
44.6305 -19.4207 | 0.347642 -0.418682 | -6641.66 2568.09
44.9129 -19.828 | -1.00024 0.0190295 | 8091.36 5418.63
45.2301 -20.2093 | -0.856958 -0.234254 | 2646.41 -5697.15
45.5732 -20.5738 | -0.956423 1.6626 | -2683.82 -6010.29
45.9347 -20.9228 | -2.62314 -0.808262 | 2503.63 9939.17
46.3223 -21.2383 | 1.22776 -2.56612 | -2700.77 -4070.09
46.7247 -21.5348 | 2.68069 1.52503 | 498.933 -4861.51
47.1427 -21.8119 | 0.956785 3.05239 | -2844.56 4525.95
47.5788 -22.053 | 0.888642 2.89585 | -13.2699 1882.28
48.0343 -22.2532 | 0.532355 0.819334 | 2045.54 -2707.74
48.5068 -22.4148 | -0.0402099 -2.55513 | -116.922 3222.38
48.9923 -22.5331 | -1.26077 2.11488 | 3944.35 -1836.56
49.4882 -22.6177 | -2.4267 1.17135 | 2810.8 -3214.06
49.9911 -22.6739 | -0.846837 2.88354 | 1808.5 6227.34
50.4978 -22.6959 | -1.52767 3.26201 | -1461.93 -3572.26
51.0037 -22.7023 | -1.01426 1.90508 | -5340.43 -4542.8
51.5061 -22.6972 | -0.220292 2.22727 | 2850.18 5822.03
52.0093 -22.6667 | -0.064223 1.81754 | 1862.96 -1128.27
52.513 -22.6193 | 0.264822 -0.765068 | 1653.86 -5129.75
53.0164 -22.5582 | -0.438097 -1.77224 | 2228.02 7855.65
53.5168 -22.4656 | -0.352043 1.89936 | -5925.72 802.794
54.009 -22.3522 | 1.60937 -0.549791 | 659.657 -7759.27
54.4981 -22.2342 | 3.12249 -0.913911 | -5201.55 5250.61
54.9787 -22.0983 | 2.48593 1.50055 | -6750.23 -5019.86
55.4521 -21.956 | 0.747217 0.150948 | 6363.24 3168.45
55.9275 -21.8049 | -0.283041 -0.393166 | 2766.17 5624.29
56.4064 -21.6505 | -1.28141 0.863791 | 7915.59 -4683.31
56.8952 -21.5164 | -1.39854 -0.35543 | -9741.99 1004.42
57.3826 -21.4044 | -1.18516 0.506911 | -9757.23 -6605.15
57.8693 -21.3276 | -2.51667 1.46688 | 8794.28 3593.3
58.3651 -21.2776 | -2.31556 0.462783 | 4193.14 1559.65
58.8667 -21.2567 | -2.404 -1.98529 | -623.021 -3633.5
59.3684 -21.2715 | -3.14009 0.44958 | -1920.5 5145
59.8663 -21.3138 | -1.3532 1.96471 | -7461.35 -997.04
60.3548 -21.3943 | 0.198306 0.44219 | 6023.44 -4277.31
60.8394 -21.5167 | 1.21612 0.84173 | 7858.53 5187.54
